ADC hub,FOSS,Software license,Active,Last Update,Notes
ADCH++,Yes,GPL,Yes,2016-03-08 / 2.12.1,[added]
ADCH++ GUI,Yes,GPL,No,[null],[added]
DSHub,Yes,GPL,No,2008-10-09 / RC1,[added]
FlexHub,Yes,AGPL,Yes,2013-10-20 / 0.2 svn 1469,[added]
Luadch,Yes,GPLv2,Yes,2019-10-13 / v2.20,[added]
Nexthub,Yes,MIT License,No,[null],[added]
uhub,Yes,GPL,Yes,2014-10-17 / 0.5.0,In Debian[2] and OpenWrt[3]
ErlHub,Yes,GPL,?,[null],[added]
Qhub,Yes,GPL,No,2006-07-09 / v0.10,[added]
Starlet ADC Hub,No,Proprietary,Yes,[null],[added]
Starhub,No,source code available,No,[null],[added]
RusHub,Yes,GPL,Yes,2012-07-10 / 2.3.10,[added]
ADC hub,FOSS,Software license,Active,[null],[added]
