ADC hub,GUI,CLI,Other,Programming language,Based on
ADCH++,No,Yes,?,C++  Lua  Python  Ruby,[null]
ADCH++ GUI,Yes,No,?,C++  Python,ADCH++
DSHub,Yes,Yes,?,Java  Python,[null]
FlexHub,Planned,Yes,?,Lua,[null]
Luadch,No,Yes,?,C++  Lua,[null]
Luadch GUI,Yes,No,?,wxLua,[null]
Nexthub,Yes,No,No,C-Sharp,[null]
uhub,No,Yes,?,C,[null]
Erlhub,?,?,?,Erlang,[null]
Qhub,?,?,?,?,[null]
Starlet ADC Hub,No,Yes,No,C,[null]
StarHub,Yes,?,?,Java,[null]
RusHub,No,Yes,No,C++,[null]
ADC hub,GUI,CLI,Other,Programming language,Based on
