ADC client,Magnet URI,UPnP,NAT traversal,DHT,Encryption,IPv6,Plugin/API,Proxy,Hash algorithms,Protocol support,NMDC compatible,Other
AirDC++,Yes,Yes,Yes,No,Yes,Yes,Web API,Yes,Tiger tree hash,TIGR  ADCS  UCMD NATT  SEGA  PFSR  KEYP  PBD1  UBN1  MCN1  BLOM  SUDP  QP  HBRI  ASCH,Yes,[null]
AirDC++ Web Client,Yes,Yes,Yes,No,Yes,Yes,Web API,Yes,Tiger tree hash,Inherits from AirDC++,Yes,[null]
ApexDC++,Yes,Yes,Yes,Yes,Yes,No,C++  Lua,Yes,Tiger tree hash,Inherits from StrongDC++,Yes,[null]
DC++,Yes,Yes,Yes,No,Yes,Yes,C++  Lua,Yes,Tiger tree hash,TIGR  ADCS  UCMD  BLOM  NATT  SEGA,Yes,[null]
jucy,Yes,Yes,No,No,Yes,Yes,Eclipse RCP,Yes,Tiger tree hash,TIGR  ADCS  KEYP  SUDP  BLOM  UCMD,Yes,[null]
LinuxDC++,Yes,Yes,No,No,Yes,No,No,Yes,Tiger tree hash,Inherits from DC++,Yes,[null]
EiskaltDC++,Yes,Yes,Yes,Yes,Yes,No,Lua  QtScript  QML,Yes,Tiger tree hash,TIGR  ADCS  UCMD  BLOM  NATT  SEGA  PFSR  KEYP  FS,Yes,[null]
FlylinkDC++,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Tiger tree hash,Inherits from StrongDC++,Yes,[null]
RSX++,Yes,Yes,No,Yes,Yes,No,C++  Lua,Yes,Tiger tree hash,Inherits from StrongDC++,Yes,[null]
TKDC++,Yes,Yes,Yes,No,Yes,No,C++  Lua,Yes,Tiger tree hash,TIGR  ADCS  UCMD  BLOM  NATT  PFSR  SEGA,Yes,[null]
StrongDC++,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Tiger tree hash,TIGR  ADCS  UCMD  BLOM  NATT  PFSR  QP  SEGA,Yes,[null]
ncdc,No,No,No,No,Yes,Yes,No,No,Tiger tree hash,TIGR  ADCS  KEYP  SUDP,Yes,[null]
ADC client,Magnet URI,UPnP,NAT traversal,DHT,Encryption,IPv6,Plugin,Proxy,Hash algorithms,Protocol support,NMDC compatible,Other
