Other software,Software type,FOSS,Software license,Active,Last Update
ADCCore,General library,Yes,GNU GPL,Yes,[null]
DCBouncer,Relay,Yes,GNU GPL,Yes,[null]
DC-Hublink,Hub linker,Yes,GNU GPL,No,[null]
DCWatch,Hub operator helper,Yes,GNU GPL,No,[null]
Embla,General library,Yes,GNU GPL,?,[null]
FlowLib,General library,Yes,GNU GPL,Yes,[null]
NetChatLink,Hub linker,Yes,GNU GPL,Yes,[null]
Announcer Bot,Announce new Releases,Yes,GNU GPLv2,Yes,[null]
Certmanager,Manage SSL Certificates,Yes,GNU GPLv2,Yes,[null]
SerieBot,SerieBot,Yes,GNU GPL,Yes,[null]
Other software,Software type,FOSS,Software license,Active,[null]
