[null],Flat,Threaded,User selectable themes,Unread message tracking,WYSIWYG Editor,Export  portability,Email / NNTP interface,Languages,SSO
bbPress,Yes[26],[null],[null],[null],[null],No[27],Plugin[28][29],Yes[30],[null]
Beehive Forum,Yes[26],Yes[26],Partial[26],Full[26],Yes[26] (using TinyMCE),Partial[31],[null],[null],[null]
Discourse,Yes,No[32],Yes[33],Full,Real-time side-by-side preview,Full[34],Partial[35],Yes[36][37],OAuth2[38]  Custom[39]
Discuz!,[null],[null],Yes[40],[null],[null],[null],[null],[null],[added]
FluxBB,Yes[26],No[26],Partial[26],Session[26],No[26],[null],[null],Yes[41],[null]
FUDforum,Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Partial[42],Yes[43],Yes[44],[added]
Invision Power Board,Yes[26],[null],Yes[26],Full[26],Yes[26],[null],No[45],[null],No[46]
MyBB[47],Yes[26],Yes[26],Yes[26],Full[26],Yes[26],No[48],No[49][50],Yes[51],[null]
Phorum,Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Plugin[52],[null],No[53],[null]
phpBB[54],Yes[26],No[26],Yes[26],Full[26],No[26],No[55],No[56][57],Yes[58],Yes (LDAP  OAuth)[59]
PunBB[60],Yes[26],[null],Yes[26],Session[26],[null],[null],[null],No[61][62],[null]
Simple Machines Forum,Yes[26],No[26],Yes[26],Full[26],Yes[26],Partial [63],No[64],Yes[65],[null]
Thredded,Yes[19],No[19],Yes[19],Full[19],No[19],No[19],Read-only[19],Yes[19],Custom[19]
Vanilla Forums,Yes[26],[null],Yes[26],Yes[26],Plugin[26],Plugin [66][67],[null],Yes[68],Yes[69]
vBulletin[70],Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Plugin[71][72],[null],No[73],[null]
XenForo,Yes[26],[null],Yes[26],Full[26],Yes[26],Yes[74],[null],Yes[75],Yes[76]
