Feature,Ace,CodeMirror,Orion,CodePress,CodeTextArea,EditArea,Helene,markItUp!,MDK-Editor
Implementation,[null],nestable full parsers,pattern-based parser,pattern-based parser,[null],[null],[null],[null],parsers
Syntax highlight,Over 110 languages,Over 130 languages,mixed mode: HTML + JavaScript and CSS  PHP  EJS; single mode: JavaScript  Java  JSON  CSS  Python  Ruby  XML  YAML (pluggable),limited mixed mode: HTML + JavaScript (no CSS)  PHP + HTML (no JavaScript or CSS)  Java  Perl  SQL,only keywords,only one language at a time: Perl  PHP  CSS  Javascript  Python  HTML  XML  VB  C  CPP  SQL  Pascal  Basic  Brainf*ck,PHP,No,mixed mode: PHP + HTML + JavaScript + CSS  single-mode: PHP  Javascript  CSS  XML; extensible
Syntax checking,HTML  CSS  JavaScript (using JSHint),Some,JavaScript (using JSLint),No,[null],[null],No,[null],HTML  JavaScript (using JSLint)
Tab support,Yes,Yes,Yes,Some,[null],Yes,[null],[null],Yes
Indent  new line keeps level,optional setting that is on by default,Yes,Yes,very limited,No,Yes,N/A (can't press Enter),No,Yes
Indent  syntax,Yes,Yes,Yes,[null],[null],No,[null],[null],No
Indent  selected block,yes  including Shift+Tab,either automatically  or block-level indent/unindent,yes  including Shift+Tab,No,[null],yes  including Shift+Tab,[null],[null],yes  including Shift+Tab and using context menu
Bracket matching,Yes,Yes,Yes,an implementation exists with mouse-hover bracket matching[citation needed],Ctrl+B; no angle bracket matching,[null],[null],No,matching bracket ([{<>}]) always highlighted
XML matching tag highlight,Yes,Yes,No,No,[null],[null],[null],[null],Yes
Code folding,Yes,Yes[5],Some[6],No,No,No,No,No,No
Code snippets,Yes,through API/add-on,Some,type 'for' or 'if' then Tab,No,Yes,No,Yes,JavaScript
Code suggestion,Yes,example,Yes through esprima content assist plugin,No,[null],yes[citation needed],[null],No,CSS  HTML  JavaScript)
Toggle syntax highlight on/off,Yes,Yes,No,[null],[null],last example in demo,[null],N/A,textmode
Keyboard shortcuts,All Common Shortcuts & Custom Keybindings,fully configurable,Yes,[null],[null],some common used: Ctrl+f  Ctrl+g Ctrl+z Ctrl+y,[null],Yes,All key combos (except F1 in IE7) can be bound to shortcuts
Line numbers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,supports mouse selection
Search & replace,regex supported,via API,Yes,[null],No,toolbar button,[null],[null],has API for the studio
Spell checking,addon for context menu,No,No,browser-based,none,browser-based,none,browser-based,No
Toolbar,But command line console,No,No,[null],No,Yes,No,Yes,No
Visual styling,Fully theme-able,CSS-based themes,Yes,[null],font-type and font-size,[null],[null],[null],5 styles to choose from  having 2 font-sizes
Undo/Redo,Yes,Yes,Yes,Yes,[null],Yes,[null],[null],Differential Undo
Multiple cursors / Block selection,Multiple cursors,Yes,Yes,No,No,No,No,No,No
IndentGuides,Yes,No,No,No,No,No,No,No,No
Inline widgets,Yes,Yes,No,No,No,No,No,No,No
Non US charset support,Yes,Yes,Yes,[null],[null],[null],[null],[null],No
