Meaning,Spanish,Portuguese,Notes
alibi,coartada < Lat. coarctare,álibi < Lat. alibi,[null]
store  shop,tienda < Late Lat. tendam (< tendere),loja < Fr. loge < Frankish laubja,[null]
knee,rodilla < Lat. rotellam ('little wheel'),joelho < Lat. genuculum,The learned word rótula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.
home,hogar < Lat. e focus,Lar < Lat. Lar,[added]
street,calle < Lat. callem,rua < Lat. [viam] rūgam,[null]
(legal) prosecutor,fiscal < Lat. fiscalis,procurador < Lat. procurator,[added]
highway  road,carretera < carreta + ‑era < carro < Lat. carrus < Gaulish carros,estrada < Lat. strata,[null]
retailer,minorista < Lat. minor + ista,retalhista < Late Lat. taliare + ista,Brazilian Port. uses varejista
sales,rebajas < Lat. prefix 're' + bassus,saldos  liquidação < Ita. saldo < soldo  Lat. liquidus,[null]
grocer,abarrotero Uncertain < Lat. or < Pre-Roman barra,merceeiro < Lat. merx + suffix eiro,[null]
organic food,comida orgánica < Lat. + Greek comeder+organĭcum < órganon,alimentação biológica  Bio < Lat. + Greek alere + βίος+λογία,Brazilian Port. tends to use orgânica.
leather,piel < Lat. pellis,couro  coiro < Lat. cŏrĭum,Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur'  but it can also mean 'leather'.
fight  brawl,pelea < Lat. pilus,briga < Ita. or Occitan briga,[null]
riff-raff  mob,chusma < Genoese ciüsma < Gr. κέλευσμα,canalha < Occitan canalha,Brazilian Port. tends to use ralé  gentalha
police station,comisaría (de policía) < Lat. + Gr. comissarius + politia < πολιτεία,esquadra  posto de polícia < Lat. + Gr. ex-quadrata  positus + politia < πολιτεία,Brazilian Port. tends to use delegacia (de polícia)
litter  rubbish,basura < Lat. versūra,lixo < Lat. līx < līcis,[null]
hole,agujero < Lat. + suffix acucŭla + ero,buraco < Proto-Germanic burō  burōną[9],[null]
drill,taladro < Lat. taratrum,berbequim < Fr. vilebrequin < Dutch wimmelkijn,Brazilian Por. uses furadeira
demolition hammer,rompedor < Lat. rumpere + dor,martelo demolidor < Lat. martulus demolitio + dor,[null]
sauce,salsa < Lat. salsus,molho < Lat. manuculus < manipulus,[null]
plane,cepilladora < Lat. cippus + dora,plaina < Lat. planea,[null]
camshaft  camshaft tree,árbol de levas < Lat. arbōs + levare,árvore de cames < Lat. + Germanic arbōs + kamm,[null]
gills,branquias < Lat. < Gr. branchĭa < βραγχια,guelras < Proto-Germanic gelunaz,In zoology  Port. also uses brânquias (branchiae).
goose,oca < Lat. auca,ganso < Gothic/Suebian gans,Spanish also has ganso.
chicken,pollo < Lat. pullus,frango < Probably Fr. francolin < Ita. francolino  all of uncertain origin,[null]
lamp,lámpara < Lat. lampăda,'candeeiro < Lat. candelae,Portuguese lâmpada usually means 'light bulb' (except in certain idioms  like lâmpada de Aladino  i.e.  'Aladdin's lamp')
meal,comida < Lat. comedere,refeição  repasto (arch.) < Lat. refectionis  re+pastus,Portuguese 'comida' means food
owl,búho < Lat. bubo,coruja (*maybe from Lat. cunicularis) of uncertain origin,[null]
kennel,perrera < uncertain origin  perhaps Pre-Roman. perro + era,canil < Lat. canis + il,[null]
cattery,criadero < Lat. creāre + era,gatil < Proto-Ger. kattuz + il,[null]
ground,suelo < Lat. solum,chão < Lat. planus,Port. also has solo.
office,despacho < Lat. dispactus,gabinete  escritório < Occitan  Lat. cabana  scriptōrium,[null]
ground floor,planta baja < Lat. planta + bassus,rés-do-chão  rés-de-chão< Lat. rāsus + planus,Brazilian Port. tends to use térreo
buoy,flotador < Fr. + Sp. suffix flotter + dor,boia < Old Fr. bouée < Frankish baukan,[null]
nappy  diaper (baby),pañal < Lat. pannus,fralda < Gothic falthan/faldan,[null]
performance,representación < Lat. representatio,performance < Eng 'performance' < Anglo-French performer < parfornir,[null]
preemptive,preventivo < Lat. praeventus,preemptivo < Eng 'preemptive' < Lat praeemptio,[null]
report,informe < Lat. informis,relatório < Lat. relatus + ório suffix < refferre,[null]
highlight,realce < Lat. + prefix re + altiare,destaque < Germanic stak,[null]
prison,cárcel < Lat. carcer,prisão< Lat. prehensionis,Span. also has prisión and Port. archaic cárcere.
squirrel,ardilla < Pre-Roman harda or probably Berber aġárda,esquilo Lat. scūrĭōlus < Gr. σκίουρος,[null]
garret  mansard,zaquizamí [10] buhardilla < Hisp-Ar. سقف في السماء (saqf fassamā)  < Lat. bufus < buharda,água-furtada  mansarda < Lat. aquam + furtus  < Fr. mansarde < François Mansart (architect),[null]
watercress,berro < Celtic bẹrŭro,agrião < Gr. άγριος,[null]
mint,menta < Lat. mentha < Gr. μίνθη,hortelã < Lat. hortus,Port. also has menta.
