Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Arima U300,Smartphone,Arima,[null],Symbian OS,7.0,[null],UIQ 2.0,[null]
Arima U308,Smartphone,Arima,[null],Symbian OS,7.0,[null],UIQ 2.1,[null]
Benq P30,Smartphone,Benq,[null],Symbian OS,7.0,[null],UIQ 2.0,[null]
Benq P31,Smartphone,Benq,[null],Symbian OS,7.0,[null],UIQ 2.1,[null]
DoCoMo F-06B,Feature phone,Fujitsu,[null],Symbian^2,9.5,[null],MOAP(S),[null]
DoCoMo F-07B,Feature phone,Fujitsu,[null],Symbian^2,9.5,EKA2,MOAP(S),[null]
DoCoMo F-08B,Feature phone,Fujitsu,[null],Symbian^2,9.5,EKA2,MOAP(S),[null]
Lenovo P930,Smartphone,Lenovo,[null],Symbian OS,8.0a,[null],S60 2nd Edition  Feature Pack 2  version 2.6,[null]
LG KS10,Smartphone,LG,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
LG KT610,Smartphone,LG,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
LG KT615,Smartphone,LG,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Motorola A920,Smartphone,Motorola,[null],Symbian OS,7.0,[null],UIQ 2.0,[null]
Motorola A925,Smartphone,Motorola,[null],Symbian OS,7.0,[null],UIQ 2.0,[null]
Motorola A1000,Smartphone,Motorola,[null],Symbian OS,7.0,[null],UIQ 2.1,[null]
Motorola M1000,Smartphone,Motorola,[null],Symbian OS,7.0,[null],UIQ 2.1,[null]
Motorola RIZR Z8,Smartphone,Motorola,[null],Symbian OS,9.2,[null],UIQ 3.1,First model with UIQ 3.1
Motorola RIZR Z10,Smartphone,Motorola,[null],Symbian OS,9.2,[null],UIQ 3.2,First model with UIQ 3.2
Nokia 3230,Smartphone,Nokia,[null],Symbian OS,7.0s,[null],S60 2nd Edition  Feature Pack 1  version 2.1,[null]
Nokia 3250,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia 3600,Smartphone,Nokia,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1 version  1.2,[null]
Nokia 3620,Smartphone,Nokia,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1  version 1.2,[null]
Nokia 3650,Smartphone,Nokia,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1  version 1.2,[null]
Nokia 3660,Smartphone,Nokia,[null],Symbian OS,6.1,[null],S60 1st Edition  Feature Pack 1  version 1.2,[null]
Nokia 5228,Smartphone,Nokia,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia 5230,Smartphone,Nokia,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia 5233,Smartphone,Nokia,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia 5250,Smartphone,Nokia,2010,Symbian^1,9.4,EKA2,S60 5th Edition  version 5[1],[null]
Nokia 5320,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 5500 Sport,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia 5530 XpressMusic,Smartphone,Nokia,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia 5630 XpressMusic,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 5700 XpressMusic,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia 5730 XpressMusic,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 5800 Navigation Edition,Smartphone,Nokia,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia 5800 XpressMusic,Smartphone,Nokia,[null],Symbian^1,9.4,EKA2,S60 5th Edition  version 5,First S60 touchscreen.First S60 5th
Nokia 6110 Navigator,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia 6120 classic,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia 6121 classic,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia 6124 classic,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia 6210 Navigator,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6220 classic,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6260,Smartphone,Nokia,[null],Symbian OS,7.0s,[null],S60 2nd Edition  Feature Pack 1  version 2.1,[null]
Nokia 6290,Smartphone,Nokia,2007,Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia 6600,Smartphone,Nokia,[null],Symbian OS,7.0s,[null],S60 2nd Edition  version 2,[null]
Nokia 6620,Smartphone,Nokia,[null],Symbian OS,7.0s,[null],S60 2nd Edition  Feature Pack 1  version 2.1,[null]
Nokia 6630,Smartphone,Nokia,[null],Symbian OS,8.0a,[null],S60 2nd Edition  Feature Pack 2  version 2.6,[null]
Nokia 6650 fold,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6670,Smartphone,Nokia,[null],Symbian OS,7.0s,[null],S60 2nd Edition  Feature Pack 1  version 2.1,[null]
Nokia 6680,Smartphone,Nokia,[null],Symbian OS,8.0a,[null],S60 2nd Edition  Feature Pack 2  version 2.6,[null]
Nokia 6681,Smartphone,Nokia,[null],Symbian OS,8.0a,[null],S60 2nd Edition  Feature Pack 2  version 2.6,[null]
Nokia 6682,Smartphone,Nokia,[null],Symbian OS,8.0a,[null],S60 2nd Edition  Feature Pack 2  version 2.6,[null]
Nokia 6700 slide,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6708,Smartphone,Nokia,[null],Symbian OS,7.0,[null],UIQ 2.1,[null]
Nokia 6710 Navigator,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6720 classic,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6730 classic,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6760 slide,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6790 slide,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6790 surge,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6788,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 6788i,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia 7610,Smartphone,Nokia,[null],Symbian OS,7.0s,[null],S60 2nd Edition  Feature Pack 1  version 2.1,[null]
Nokia 7650,Smartphone,Nokia,2002,Symbian OS,6.1,[null],S60 1st Edition  version 0.9,First Nokia with Symbian OS; first Series 60 (Now S60)) platform device; first Nokia with built-in camera.
Nokia 7710,Smartphone,Nokia,[null],Symbian OS,[null],[null],S90,only model on S90
Nokia 9210,Smartphone,Nokia,[null],Symbian OS,6.0,[null],S80 v1.0,[null]
Nokia 9210i,Smartphone,Nokia,[null],Symbian OS,6.0,[null],S80 v1.0,[null]
Nokia 9290,Smartphone,Nokia,[null],Symbian OS,[null],[null],S80 v1.0,[null]
Nokia 9300,Smartphone,Nokia,[null],Symbian OS,[null],[null],S80 v2.0,[null]
Nokia 9300i,Smartphone,Nokia,[null],Symbian OS,[null],[null],S80 v2.0,[null]
Nokia 9500,Smartphone,Nokia,[null],Symbian OS,[null],[null],S80 v2.0,[null]
Nokia C5-00,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia C5-01,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia C5-03,Smartphone,Nokia,2010,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia C6-00,Smartphone,Nokia,2010,Symbian^1,9.4,EKA2,S60 5th Edition  version 5,[null]
Nokia C6-01,Smartphone,Nokia,2010,Symbian^3,9.5,EKA2,Symbian^3  version 5.2,[null]
Nokia C7-00,Smartphone,Nokia,2010,Symbian^3,9.5,EKA2,Symbian^3  version 5.2,[null]
Nokia E5-00,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia E50,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia E51,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia E52,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia E55,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia E60,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia E61,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia E61i,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia E62,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia E63,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia E65,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia E66,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia E7-00,Smartphone,Nokia,2010,Symbian^3,9.5,EKA2,Symbian^3  version 5.2,[null]
Nokia E70,Smartphone,Nokia,[null],Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia E71,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia E72,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia E73,Smartphone,Nokia,[null],Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia E75,Smartphone,Nokia,2009,Symbian OS,9.3,[null],S60 3rd Edition  Feature Pack 2  version 3.2,[null]
Nokia E90 Communicator,Smartphone,Nokia,[null],Symbian OS,9.2,[null],S60 3rd Edition  Feature Pack 1  version 3.1,[null]
Nokia N70,Smartphone,Nokia,2005,Symbian OS,8.1a,[null],S60 2nd Edition  Feature Pack 3  version 2.8,[null]
Nokia N71,Smartphone,Nokia,2006,Symbian OS,9.1,[null],S60 3rd Edition  version 3,[null]
Nokia N72,Smartphone,Nokia,2006,Symbian OS,8.1a,[null],S60 2nd Edition  Feature Pack 3  version 2.8,[null]
