Name,License,Cost,OS X,Unix-like,Windows,Audio,Images,Video,Transcoding,Web Interface,DLNA support,Multilingual[1],Implementation,Subtitles[2],Still Supported,Misc.
360 Media Server,GPL,Free,No,Yes,Yes,Yes,No,No,Yes,Yes,Unknown,Unknown,Java,Unknown,No,[null]
ALLMediaServer,GPL,Trialware,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Delphi/Python,Yes,Yes,[null]
ArkMS,Prop.,Non-free,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Unknown,C++,Yes,Yes,[null]
aVia Media Player,Prop.,Free,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Unknown,Java,Unknown,Yes,[null]
BRisa,MIT,Free,Partial[3],Partial[3],No,Yes,Yes,Yes,Yes[4],Yes,Unknown,Unknown,Python,Unknown,Unknown,[null]
Coherence,MIT,Free,Partial[3],Partial[3],Partial[3],Yes,Yes,Yes,Yes[5],Yes[4],Yes,Unknown,Python,Unknown,No,[null]
DivX,Prop.,Free,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,C++,Unknown,Yes,[null]
Elgato Eyeconnect,Prop.,Non-free,Yes,No,No,Yes,Yes,Yes,No,No,Unknown,Yes,Unknown,Unknown,No,[null]
Foobar2000[6],Prop.,Free,No,No,Yes,Yes,No,No,Yes,No,Unknown,Unknown,C++,Unknown,Yes,[null]
FUPPES,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Unknown,C++,Unknown,No,[null]
GeeXboX uShare,GPL,Free,No,Yes[7],No,Yes,Yes,Yes,No,Yes,Yes,Unknown,C,Unknown,No,[null]
Gmediaserver,GPL,Free,No,Yes,No,Yes,No,Yes,No,No,Unknown,Unknown,C,Unknown,No,[null]
Home Media Center[8],GPLv2,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,.NET 4,Yes,Yes,[null]
iSedora Media Server,Prop.,Non-free,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Objective C / C++ / JavaScript,Unknown,Yes,[null]
Jamcast,Prop.,Free,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Unknown,C++ / C# / Java,Unknown,Yes,[null]
JRiver Media Center,Prop.,Non-free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes,Yes,[null]
Kodi (formerly XBMC),GPL,Free,Yes,Yes,Yes,Yes,Yes [9],Yes,No,Yes,Yes,Yes,C++,Yes,Yes,[null]
KooRaRoo Media,Prop.,Non-free[10],Yes[11],Yes[12],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes[13],Yes,[null]
LimboMedia,Prop.,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Java,Yes,Yes,[null]
LXiMedia,GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes  mandatory,Yes,Yes,Unknown,C++,Yes,No,[null]
Majestic Media Server,Prop.,Non-free,Yes,No,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,[null]
MediaMonkey,Prop.,Non-free,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Delphi,Yes,Yes,[null]
MediaTomb,GPL,Free,Partial[14],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,C++,Unknown,No,[null]
Gerbera,GPL,Free,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,C++,Unknown,Yes,Based on MediaTomb
ReadyMedia (formerly MiniDLNA),GPL/BSD,Free,Partial[15],Yes,Yes[16],Yes,Yes,Yes,Partial[17],Partial[18],Yes,Unknown,C,Yes,Unknown,[null]
Mezzmo,Prop.,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Yes,Yes,[null]
myiHome,Prop.,Free,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Unknown,Unknown,Java,Unknown,Unknown,[null]
