Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip or unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Arachne,GUI,Traditional Newsreader,Yes,No,No,[null],[null],[null],[null],[null],Free,DOS  Unix-like,GPL,[null]
BinTube,GUI,Binary Grabber,No,Yes,Yes,Yes,Yes (3200 Days / Free),Yes,Yes,Yes,$59.95 / Free with subscription,Microsoft Windows,Proprietary,Streams media while downloading; Free with Usenet Service
Claws Mail,GUI,[null],[null],[null],[null],[null],[null],[null],[null],[null],Free,Cross-platform,GPL,[null]
Forté Agent,GUI,Combination,Yes,Yes,Yes,Yes,[null],[null],Yes,[null],$29,Microsoft Windows,Proprietary,Includes 3 month newsgroup service trial; Shareware
Gnus,Text-based,Traditional Newsreader,Yes,No,No,No,No,Yes,Yes,No,Free,Cross-platform,GPL,Runs in Emacs; also does Email
GrabIt,GUI,Binary Grabber,Yes,Yes,Yes,Yes,Yes ( 30 days / $24.99/yr ),No,Yes,[null],Free (searching extra),Microsoft Windows,Proprietary,Usenet Search Service
KNode,GUI,Traditional Newsreader,Yes,No,No,[null],[null],Yes,Yes,[null],Free,Unix-like,GPL,KDE
Lotus Notes,GUI,Traditional Newsreader,Yes,No,No,[null],[null],[null],[null],[null],Varies,Microsoft Windows  Unix-like  Mac OS X,Proprietary,[null]
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Lynx,Text-based,Traditional Newsreader,Yes,No,No,[null],[null],Yes,Yes,[null],Free,Cross-platform,GPL,Limited USENET support
Mozilla Mail & Newsgroups,GUI,Traditional Newsreader,Yes,No,No,No,No,[null],[null],[null],Free,Cross-platform,MPL/GPL/LGPL tri-license,Replaced by SeaMonkey Mail & Newsgroups
Mozilla Thunderbird,GUI,Traditional Newsreader,Yes,No,No,No,No,Yes,Yes,[null],Free,Cross-platform,MPL,Plugin support
Newsbin Pro,GUI,Binary Grabber,Yes,Yes,Yes,Yes,Yes ( $10/yr ),Yes,Yes,[null],$20,Microsoft Windows,Proprietary,Shareware
NewsLeecher,GUI,Combination,Yes,Yes,Yes,Yes,Yes Optional extra Add $10 per year,No,Yes,[null],Varies,Microsoft Windows,Proprietary,Shareware
Novell GroupWise,GUI,Traditional Newsreader,Yes,No,No,[null],[null],[null],[null],[null],Varies,Microsoft Windows  Unix-like,Proprietary,[null]
Opera Mail,GUI,Traditional Newsreader,Yes,No,No,[null],No,Yes,Yes,[null],Free,Cross-platform,Proprietary,Part of Opera up to version 12.17
Outlook Express,GUI,Traditional Newsreader,Yes,No,No,No,No,Yes,Yes,[null],[null],Microsoft Windows,Proprietary,Part of Microsoft Windows (up to Windows Server 2003)
Pan,GUI,Combination,Yes,No,Yes,No,[null],Yes,Yes,[null],Free,Unix-like  Microsoft Windows,GPL,Gtk+
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip & unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
Seamonkey Mail & Newsgroups,GUI,Traditional Newsreader,Yes,No,No,No,No,[null],[null],[null],Free,Cross-platform,MPL,Replaced Mozilla Mail & Newsgroups
slrn,text-based,Traditional Newsreader,Yes,Yes (using macros),Yes (using macros),Yes (using macros),No,Yes,Yes,No,Free,Cross-platform,GPLv2+,Highly extensible using S-Lang scripts (macros)
Sylpheed,GUI,Traditional Newsreader,Yes,No,No,[null],[null],[null],Yes,[null],Free,Cross-platform,GPL/LGPL,Gtk+
tin,text-based,Traditional Newsreader,Yes,No,No,No,[null],Yes,No,[null],Free,Unix-like,BSD,Free Software
Unison,GUI,Combination,Yes,Yes,Yes,Yes,[null],Yes,Yes,Yes (audio only),Free,Mac OS X,Proprietary,Development has ceased. Free but unsupported.
Usenet Explorer,GUI,Combination,Yes,Yes,Yes,Yes,Yes ( 1500 days / $23.34/yr ),Yes,Yes,[null],$35,Microsoft Windows,Proprietary,Shareware
Windows Live Mail,GUI,Traditional Newsreader,Yes,[null],[null],[null],[null],Yes,[null],[null],Free,Microsoft Windows,Proprietary,[null]
Windows Mail,GUI,Traditional Newsreader,Yes,[null],[null],[null],[null],Yes,[null],[null],[null],Microsoft Windows,Proprietary,Part of Windows Vista and Windows Server 2008
Xnews,GUI,Combination,Yes,No,No (Can create NBZs),[null],[null],No,[null],[null],Free,Microsoft Windows,Proprietary,[null]
XPN,GUI,Traditional Newsreader,Yes,No,No,[null],[null],[null],Yes,[null],Free,Cross-platform,GPL,[null]
Name,Interface,Type of Client,Downloading headers XOVER,PAR,NZB,unZip unRAR,Integrated Search Service (retention / $$$/yr),IPv6,SSL/TLS,Audio Video Streaming,Price,Platform,License,Other
