[null],Client (library),Server (library),Version compared,Protocol (spec) version support,Protocol test report,License,Implementation: language  environment,API: language  environment,Self-hosted server,Text message support,Binary message support,API message-based,API frame-based,API streaming input-output,Flow-control framework,Automatic pongs for pings,Automatic heartbeat pings,Manual pings-pongs,Frame size limit
Google Chrome 15[1],Yes,No,15.0.874.8 12 Sep 2011,8 (10),[null],Complex,C++  WebKit,JavaScript  HTML5,No,Yes,Yes,Yes,No,No  No,No,Yes,No,No,≥ 16 MB (memory-limited?)
Google Chrome 16[1],Yes,No,16.0.912 13 Dec 2011,13 (17/RFC 6455),[null],Complex,C++  WebKit,JavaScript  HTML5,No,Yes,Yes,Yes,No,No  No,No,Yes,No,No,≥ 16 MB (memory-limited?)
Mozilla Firefox 7[2],Yes,No,7 beta 12 Sep 2011,8 (10),[null],MPL  GPL  LGPL,C++  Necko,JavaScript  HTML5,No,Yes,No,Yes,No,No  No,No,Yes,No,No,< 16 MB
Mozilla Firefox 11[2],Yes,No,11.0 13 Mar 2012,13 (17/RFC 6455),[null],MPL  GPL  LGPL,C++  Necko,JavaScript  HTML5,No,Yes,Yes,Yes,No,No  No,No,Yes,No,No,< 2 GB (memory-limited?)
Achex WS[3],Yes,Yes,2.17 17 June 2014,RFC 6455,[null],Commercial,C++,C++  JavaScript,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,2^16
Kaazing WebSocket Gateway[4],Yes,Yes,5.0 Dec 2014,RFC 6455,[null],APL2 (Community Edition)  commercial (Enterprise Edition),Java  JMS,JavaScript  Flash/Flex  Silverlight  Objective-C & iOS  Java  Java & Android  .NET  Xamarin,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,memory-limited  configurable
Lightstreamer[5],Yes,Yes,7.0.3 7 Jan 2019,RFC 6455,[null],Commercial  freeware,Java,JavaScript  Flash/Flex  Silverlight  iOS  macOS  tvOS  watchOS  Java  J2ME  Android  .NET Standard/.NET PCL/Unity,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Data driven  configurable
MigratoryData[6],Yes,Yes,5.0.28 23 Aug 2019,RFC 6455,[null],Commercial,Java,JavaScript  iOS  Android  Java  C++  .NET  PHP  Node.js  Python  Ruby,Yes,Yes,No,Yes,No,No  No,Yes,Yes,Yes,No,263  configurable
noPoll[7],Yes,Yes,0.3.2 28 aug 2015,RFC 6455,[null],LGPL 2.1,ANSI C,ANSI C,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,memory-limited  configurable
POCO C++ Libraries[8],Yes,Yes,1.4.6 23 Sep 2014,RFC 6455,[null],Boost,C++  POCO C++ Libraries,C++,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,memory-limited  configurable
PowerWebSockets[9],Yes,Yes,15.176.5188 26 Jun 2015,RFC 6455,Test report[10],Commercial,.NET,.NET Framework  .NET Compact Framework  Xamarin. iOS  Xamarin.Android  Windows Phone  Silverlight  Mono,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,memory-limited  configurable
Push Technology Diffusion[11],Yes,Yes,4.6.1,RFC 6455,[null],Commercial,Java,JavaScript  Flash/Flex  Silverlight  Objective-C & iOS  Java  Java & Android  .NET  Java J2ME & BlackBerry  C/C++  Node.js,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes[12],Yes[12],No,memory-limited  configurable
QtWebSockets[13],Yes,Yes,1.0 12 Nov 2013,RFC 6455,[null],LGPL,C++  Qt,Qt,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,memory-limited  configurable
RingSocket[14],No,Yes,1.0 13 Sep 2019,RFC 6455,[null],MIT,C,C,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,unlimited/configurable
Resin[15],No,Yes,4.026 29 Feb 2012,RFC 6455,[null],GPL  commercial,Java  C,Java,[null],Yes,Yes,Yes,No,Yes,No,Yes,No,No,memory-limited  configurable
