Company,Software,On-demand scan,On-access scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email Security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
Avast,Avast Mac Security,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Free,2012,Czech Republic,[null]
Avira Operations,Avira Free Mac Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Proprietary,Free,2011,Germany,[null]
Bitdefender,Bitdefender Antivirus for Mac,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Romania,[null]
Cisco,Clam AntiVirus,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,GNU GPL,Free,2000,United States,[null]
Comodo Group,Comodo Mac Security,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Proprietary,Free,2012,United States,[null]
Dr. Web,Dr. Web Anti-virus for Mac OS X,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,2012,Russia,[null]
ESET,ESET Cyber Security,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Slovakia,[null]
ESET,ESET Cyber Security Pro,Yes,Yes,Yes,Yes,Yes[9],No,No,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2013,Slovakia,[null]
F-Secure,F-Secure Anti-Virus for Mac,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,2008,Finland,Third-party antivirus engine (Bitdefender + F-PROT)
Intego,VirusBarrier,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Proprietary,Non-free,1997,United States,[null]
Intego,Mac Internet Security,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2000,United States,[null]
Kaspersky Lab,Kaspersky Internet Security,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Non-free,2010,Russia,Banned by USG
Quick Heal,Quick Heal Total Security for Mac,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,1995,India,GoDeep.AI engine
Malwarebytes,Malwarebytes for Mac,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Free,2006,United States,4 vulnerabilities found by Project Zero in 2016
Panda Security,Panda Antivirus for Mac,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,2008,Spain,[null]
Sophos,Sophos Anti-Virus for Mac,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Proprietary,Free,2010,United Kingdom,[null]
Symantec,Symantec Endpoint Protection,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Non-free,2012,United States,[null]
Symantec,Norton Security Standard for Mac,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2012,United States,[null]
Trend Micro,Titanium Internet Security for Mac,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Non-free,2011,Japan,[null]
Webroot,SecureAnywhere AntiVirus,Yes,Yes,No,No,No,No,No,No,No,Yes (only in Apple Safari),Yes,Yes,Proprietary,Trialware,2012,United States,[null]
Webroot,SecureAnywhere Internet Security Plus and Complete,Yes,Yes,No,No,No,No,No,No,No,Yes (only in Apple Safari),Yes,Yes,Proprietary,Trialware,2012,United States,[null]
Company,Software,On-demand scan,On-access scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email Security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
