Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,Android,Network storage,External hardware
ACID Pro,Magix,Proprietary,Yes,No,No,No,[null],[null],[null]
Ardour,The Ardour Community,GNU GPL,Yes,Yes,Yes,No,[null],NFS,[null]
AudioDesk,Mark of the Unicorn,Proprietary,No,Yes,No,No,[null],[null],[null]
Audition,Adobe Systems,Proprietary,Yes,Yes,No,No,[null],[null],[null]
Bitwig Studio,Bitwig,Proprietary,Yes,Yes,Yes,No,[null],[null],[null]
Cakewalk by BandLab[1],BandLab Technologies,Proprietary (Freeware),Yes,No,No,No,[null],[null],[null]
Cubase,Steinberg,Proprietary,Yes,Yes,No,Yes,[null],[null],Requires hardware dongle
Digital Performer,Mark of the Unicorn,Proprietary,Yes,Yes,No,No,[null],[null],[null]
FL Studio,Image-Line,Proprietary,Yes,Yes,No,Yes,Yes,[null],[null]
GarageBand,Apple,Proprietary,No,Yes,No,Yes,[null],[null],[null]
Harrison Mixbus,Harrison Consoles,Proprietary,Yes,Yes,Yes,No,[null],NFS,[null]
Kristal,Kreatives,Proprietary (Freeware),Yes,No,No,No,[null],[null],[null]
Live,Ableton,Proprietary,Yes,Yes,No,No,[null],[null],[null]
LMMS,Tobias Doerffel,GNU GPL,Yes,Yes,Yes,No,[null],NFS,[null]
Logic Pro,Apple,Proprietary,Discontinued (last version: 5.5.1),Yes,No,No,[null],[null],[null]
Mixcraft,Acoustica,Proprietary,Yes,No,No,No,[null],[null],[null]
mp3DirectCut,Martin Pesch,Proprietary Freeware,Yes,No,No,No,[null],[null],[null]
MuLab,MuTools,Proprietary,Yes,Yes,No,No,[null],[null],[null]
MultitrackStudio,Bremmers Audio Design,Proprietary,Yes,Yes,No,Yes,[null],[null],[null]
MusE,MuseE,GNU GPL,No,No,Yes,No,[null],NFS,[null]
n-Track,Fasoft,Proprietary,Yes,Yes,No,Yes,Yes,[null],[null]
Nuendo,Steinberg,Proprietary,Yes,Yes,No,No,[null],[null],[null]
Podium,Zynewave,Proprietary / Freemium,Yes,No,No,No,[null],[null],[null]
Pro Tools,Avid,Proprietary,Yes,Yes,No,No,[null],MediaNet (proprietary),Yes
Qtractor,Qtractor,GNU GPL,No,No,Yes,No,[null],NFS,[null]
REAPER,Cockos,Proprietary,Yes,Yes,Yes (pre-beta),No,[null],[null],[null]
Reason,Propellerhead Software,Proprietary,Yes,Yes,No,No,[null],[null],[null]
Record,Propellerhead Software,Proprietary,Yes,Yes,No,No,[null],[null],[null]
Renoise,Renoise Team,Proprietary,Yes,Yes,Yes,No,[null],[null],[null]
Rosegarden,Rosegarden,GNU GPL,No,No,Yes,No,[null],NFS,[null]
Samplitude/Sequoia,Magix,Proprietary,Yes,No,No,No,[null],[null],[null]
Soundscape 32,Mackie,Proprietary,Yes,No,No,No,[null],[null],External 2U rack unit
Studio One,PreSonus,Proprietary,Yes,Yes,No,No,[null],SoundCloud,[null]
Tracktion,Tracktion Software Inc,Proprietary,Yes,Yes,Yes,No,[null],[null],[null]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,[null],Network storage,External hardware
