Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
Acoustica,Acon Digital,Proprietary,Yes,Yes,No,No,No,No,Unknown,Unknown
Audacity,Audacity Team,GNU GPL,Yes,Yes,Yes,Yes,Yes,No,NFS,[null]
Audiotool,Hobnox,Proprietary,Yes,Yes,Not officially supported,Yes,No,Yes,NFS,Optional MIDI support
BIAS Peak,BIAS,Proprietary,No,Yes,No,No,No,No,[null],[null]
Diamond Cut ART,Diamond Cut Productions,Proprietary,Yes,No,No,No,No,No,Unknown,Unknown
Ecasound,Kai Vehmanen,GNU GPL,No,Yes,No,Yes,Yes,No,Unknown,Unknown
Goldwave,Goldwave Inc.,Proprietary Shareware,Yes,No,No,No,No,No,[null],[null]
Jokosher,Jokosher,GNU GPL,Yes,No,No,Yes,No,No,NFS,[null]
NU-Tech,Leaff Engineering,Proprietary,Yes,No,No,No,No,No,[null],[null]
RiffWorks,Sonoma Wire Works,Proprietary,Yes,Yes,No,No,No,No,[null],[null]
Sound Forge,Magix,Proprietary,Yes,Yes,No,No,No,No,[null],[null]
Soundbooth,Adobe Systems,Proprietary,Yes,Yes,No,No,No,No,[null],[null]
SoX,Chris Bagwell  et al.,GNU GPL,Yes,Yes,No,Yes,Yes,No,[null],[null]
SpectraLayers,Sony,Proprietary,Yes,Yes,No,No,No,No,[null],[null]
Sweep,Conrad Parker,GNU GPL,No,No,No,Yes,Yes,No,[null],[null]
Total Recorder,HighCriteria,Proprietary Shareware,Yes,No,No,No,No,No,[null],[null]
Traverso DAW,Traverso,GNU GPL,Yes,Yes,No,Yes,No,No,NFS,[null]
WaveLab,Steinberg,Proprietary,Yes,Yes,No,No,No,No,[null],External gear  MIDI
WavePad,NCH Software,Proprietary / Freemium,Yes,Yes,Yes,No,No,No,[null],[null]
WaveSurfer,Centre for Speech Technology at KTH,BSD-like,Yes,Yes,No,Yes,Yes,No,[null],[null]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
