File archivers,ZIP,TAR,Gzip/Deflate ZIPx,Bzip2/BZ2 ZIPx,7z,XZ ZIPx,RAR,LHA/LZH,ACE,StuffIt,StuffIt X,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ,Special
7-Zip,Yes,Yes,Yes[14],Yes[14],Yes,Yes[14],No,No,No,No,No,No,No,No,No,No,No,No,No,[null]
ALZip[6],Yes,Yes,Yes,Yes,No,Unknown,No,No,No,No,No,No,No,No,No,Yes,Yes,Unknown,No,[null]
Archive Manager,Yes,Yes,Yes,Yes,Yes,Yes,No[12],Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,[null]
Archive Utility,Yes,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,[null]
Ark,Yes,Yes,Yes,Yes,Yes,Yes,No[10],Yes,No,No,No,No,No,No,No,No,No,No,No,[null]
B1 Free Archiver,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[null]
BetterZip,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,[null]
bsdtar/libarchive,Yes,Yes,Yes[15],Yes[15],Yes,Yes[15],No,No,No,No,No,No,No,No,No,No,No,Yes,No,[null]
Commander One,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[null]
CRAX Commander,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,[null]
Disk ARchiver,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,[null]
Filzip,Yes,Yes,Yes,No,No,Unknown,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,No,[null]
FreeArc,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,[null]
GNU tar,No,Yes,Yes[1],Yes[1],No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,[null]
iArchiver,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,[null]
Info-ZIP,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[null]
KGB Archiver,Yes,No,No,No,No,Unknown,No,No,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,[null]
PeaZip,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,[null]
PKZIP,Yes,Yes,Yes,Yes,No,Unknown,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,No,[null]
PowerArchiver 2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes[17],Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,.bh (BlakHole) by ZipTV
Star,No,Yes,Yes[1],Yes[1],Yes[1],Yes[1],No,No,No,No,No,No,No,No,No,No,No,No,No,[null]
StuffIt[4],Yes,Yes,Yes,Yes,No,Unknown,No[9],Yes,No,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,No,[null]
TUGZip,Yes,Yes,Yes,Yes,Yes,Unknown,No[2],Yes,No[4],No,No,No,No,No,No,Yes,No,Unknown,No,[null]
WinAce,Yes,Yes,Yes,Yes,No,Unknown,No,Yes,Yes,No,No,No,No,Unknown,Unknown,Yes,Unknown,Yes,No,[null]
WinRAR,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,[null]
WinZip,Yes,No,No,No,No,No,No,No,No,No,No,No[3],No,No,No,No,No,No,No,ZIPx
Xarchiver,Yes,Yes,Yes,Yes,Yes,Unknown,No[11],Yes,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,[null]
ZipGenius,Yes,Yes[7],Yes[7],Yes[7],Yes,Unknown,No,Yes[8],No,No,No,No,No,No,Unknown,Yes[7],No,No,No,[null]
[null],ZIP,TAR,Gzip/Deflate ZIPx,Bzip2/BZ2 ZIPx,7z,XZ ZIPx,RAR,LHA/LZH,ACE,SIT,SITX,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ,Special
