Name,Creator,FOSS,Free,First public release date,Year of latest stable version,Windows,Macintosh,Linux,Other platforms,Max Supported File Size
Beyond Compare,Scooter Software[1],No; Proprietary,No,1996,2019-12-2 (v4.3.3),Yes,Yes,Yes,[null],> 2GB (64 bits)
Compare++,Coode Software[2],No; Proprietary,No,2010,2014-11-12 (2.21.2.0),Yes[3],No,No,[null],[null]
diff  diff3,AT&T,Yes; BSD 3-clause  BSD 4-clause  CDDL  GPL  Proprietary,Yes,1974,[null],Yes,Yes (Mac OS X),Yes,ported to most platforms as part of SCCS,> 2GB but less than 64 bits
Eclipse (compare),[null],Yes; Eclipse Public License,Yes,2004-07-21,2016-09-28 (4.6.1 (Neon.1)),Yes,Yes,Yes,Anything with Java,[null]
Ediff,Michael Kifer[4],Yes; GPL,Yes,1994,2.81.4,Yes[5],Yes (Mac OS X),Yes,Anything with Emacs and diff,[null]
ExamDiff Pro,PrestoSoft[6],No; Proprietary,No,1998,2017-09-23 (v 9.0.1.6),Yes (Win98 and up),No,No,[null],[null]
Far Manager (compare),Eugene Roshal (original); FAR Group,Yes; Revised BSD license,Yes,1996,2017-08-07 (v3.0 build 5000),Yes,No,No,[null],[null]
fc,Microsoft[7],No; Proprietary,Yes; Part of OS,1987,[null],Yes (DOS),No,No,[null],[null]
FileMerge (aka opendiff),Apple Inc.,No; Proprietary,Yes; (part of Apple Developer Tools),1993 (part of NEXTSTEP 3.2[8]),2014 (v2.8),No,Yes (Mac OS X),No,[null],[null]
FreeFileSync,Zenju,Yes; GPLv3,Yes,2008,2019-09-16 (v10.16),Yes,Yes,Yes,[null],[null]
Guiffy SureMerge,Guiffy Software[9],No; Proprietary,No,2000,2019-10-01 (v11.11),Yes,Yes,Yes,Anything with Java,> 2GB
IntelliJ IDEA (compare),JetBrains[10],No; Proprietary,No,2001,2019-08-20 (2019.2.1),Yes,Yes,Yes,[null],[null]
jEdit JDiff plugin,Various[11],Yes; GPL,Yes,1998,2012-10-04 (3.3.0),Yes,Yes,Yes,Anything with Java,[null]
Kompare,Otto Bruggeman[12],Yes; GPLv2+,Yes,[null],[null],Yes [13],Yes (Mac OS X),Yes,[null],[null]
Lazarus Diff,Lazarus (software),Yes; GPL,Yes,2000,2016-11-13 (1.6.2),Yes,Yes,Yes,FreeBSD,[null]
Meld,Stephen Kennedy[14],Yes; GPLv2+,Yes,2002,2019-03-31 (3.20.1),Yes[15],Yes,Yes,BSD  Solaris,[null]
Notepad++ (compare),Various,Yes; GPLv3,Yes,2009,2015-01-06 (1.5.6.6),Yes[16],No,No,[null],[null]
Perforce P4Merge,Perforce,No; Proprietary,Yes,[null],2019 (2019.1/1815056),Yes,Yes,Yes,Sun Solaris,[null]
Pretty Diff,Austin Cheney[17],Yes; MIT-compatible,Yes,2009,2016-11-11 (2.1.14),Yes (Web),Yes (Web),Yes (Web),Node.js,[null]
Tkdiff,Tkdiff[18],Yes; GPLv2+,Yes,2003 (or before),2011-11-27 (v4.2),Yes (Tcl),Yes (Tcl),Yes (Tcl),Anything with Tcl,[null]
Total Commander (compare),Christian Ghisler[19],No; Proprietary,No,[null],2016-11-23 (v9.00),Yes,No,No,[null],[null]
twdiff (TextWrangler Diff Helper),Bare Bones Software  Inc.[20],No; Proprietary,Yes; with TextWrangler,[null],2012 (1.0 (v22)),No,Yes,No,No,[null]
vimdiff,Bram Moolenaar et al.,Yes; GPL-compatible [21],Yes,2001,2016-10-03 (v8.0.0022),Yes,Yes,Yes,Anything with vim,[null]
WinDiff,Microsoft[22],No; Proprietary,Yes; Part of Platform SDK,1992,2002-08-16 14:36:14 (v5.00.2195.6601),Yes,No,No,No,[null]
WinMerge,Dean Grimm[23],Yes; GPL,Yes,1998,2018-11-22 (v2.18.0),Yes (Win95 and up),Yes (in wine[24]),Yes (in wine[24]),[null],2 GB
UCC,USC CSSE[25],No; USC-CSSE Limited Public License,Yes,2009,2015-12-30 (2015.12),Yes,Yes,Yes {2.6.9},Sun Solaris,[null]
Name,Creator,FOSS,Free,First public release date,Year of latest stable version,Windows,Macintosh,Linux,Other platforms,Max Supported File Size
