[null],Maximum file size,Partial file loading,Disk sector editing,Bit editing,Text editor,Insert/delete bytes,Character encodings(ao),Search Unicode,File structure view,Disassembler,File compare,Find in files,Bookmarks,Macro,Data inspector
beye,8 PiB,Yes,No,Yes,No,Yes,ANSI  EBCDIC  ASCII  Macintosh,Yes,[null],AVR  Java  x86  i386  x86-64  ARM/XScale  PowerPC  PPC64,[null],[null],Yes,[added],[added]
bvi,Unlimited[citation needed],Yes,[null],Yes,Yes,Yes,ANSI  ASCII,[null],No,No,[null],Yes and replace,[null],[added],[added]
Emacs,Limited by RAM,[null],No,No,Yes,Yes,[null],[null],No,No,[null],[null],[null],Yes,No
FlexHex,Unlimited[citation needed],Yes,Yes,Yes,No,Yes,ANSI  OEM  UTF-16,Yes,Yes,No,Yes,No,Yes,[null],Yes
Frhed,Limited by RAM,Yes,No(read only),Yes,No,Yes,ANSI  OEM,Yes,Yes,No,Yes,No,Yes,[added],[added]
Hiew,Unlimited[citation needed],Yes,WinNT only,Yes,Yes,Yes,ASCII OEM  Unicode Custom,Yes,Yes,x86  x86-64  MMX  SSE 4.2  3DNow! - all assembler  ARM,[null],Yes,Yes,Yes,[added]
HxD,Unlimited[2][citation needed],Yes,Windows 9x/NT and up,Yes,No,Yes,ANSI  ASCII  OEM  EBCDIC  Macintosh,Yes,No,Yes,Yes,Yes,Yes,[null],Yes
VEDIT,Standard  2 GiB  Pro 64  unlimited[citation needed],Yes,DOS version only,Yes,Yes,Yes,ANSI  OEM  EBCDIC  ASCII  custom,[null],No,No,Yes,Yes,Yes,Yes,[added]
UltraEdit,>4 GiB,Yes,No,No,Yes,Yes,ANSI  OEM  EBCDIC  ASCII  Mac  Unix  UTF-8,Yes,Yes,No,Yes,Yes,Yes,[added],[added]
WinHex,Unlimited[citation needed],Yes,Yes,Yes,External: notepad,Yes,Partial support of these formats: ANSI  UNICODE  OEM  UTF-8/UTF-16  EBCDIC  ASCII,Yes,Yes,Only x86 Intel opcodes,Yes,Yes and replace,[null],Yes[3],Yes
vim,Limited by RAM,Yes[4],Partial[5],Yes[6],Yes,Yes,ASCII  ISO-8859  DOS (OEM)  UTF-8  UTF-16  partial EBCDIC (compilation required)  unicode,Yes,Plug-in[7],external; libraries,Yes[8],Plug-in[9],Plug-in[10],Yes,No
[null],Maximum file size,Partial file loading,Disk sector editing,Bit editing,Text editor,Insert/delete bytes,Character encodings(ao),Search Unicode,File structure view,Disassembler,File compare,Find in files,Bookmarks,Macro,Data inspector
