System,Creator,License,Implementation language(s),Back end,Launch date,Refs
Apache Bloodhound,Apache Software Foundation,Apache License,Python,MySQL  PostgreSQL  SQLite,2012,[1]
Assembla Tickets,Assembla,Proprietary  hosted. Available for free for open source projects,Ruby,MySQL,2008,[null]
Axosoft,Axosoft LLC,Proprietary  Saas,C#  .NET,SQL Server,2002,[null]
Bugzilla,Mozilla Foundation,MPL,Perl,MySQL  Oracle  PostgreSQL  SQLite,1998-09-19,[null]
Debbugs,Debian,GPL,Perl,Flat file  Berkeley DB indexes[citation needed],Between 1994 and 1999[notes 1],[null]
Faveo Helpdesk,Ladybird Web Solution,Open Software License,PHP,MySQL,2015,[null]
FogBugz,Glitch,Saas,ASP on Windows  PHP on macOS  FreeBSD  and Linux,SQL Server  MySQL,2000,[2]
Fossil,D. Richard Hipp,BSD,C,SQLite,2006,[null]
FusionForge,Various (open source contributors),GPLv2,PHP,PostgreSQL,2009-02,[null]
GLPI,INDEPNET,GPLv2,PHP,MySQL,2003-11-17,[null]
GNATS,Free Software Foundation,GPL,C  Web Front-end In Perl,Text files with custom daemon/search engine,1992,[null]
HP Quality Center,Hewlett-Packard  formerly Mercury Interactive,Proprietary,.NET (client)  Java (server),Oracle  SQL Server,1995,[null]
IBM Rational ClearQuest,Rational Software,Proprietary,kernel: executables for several platforms; hooks: Perl and Visual Basic,IBM DB2  Oracle  SQL Server  Access  Sybase ASA,1998,[null]
IBM Rational Team Concert,Rational Software,Proprietary,kernel: Java; API: Java,IBM DB2  Oracle  SQL Server  Apache Derby,2008,[null]
Jira,Atlassian,Proprietary. Free community licenses for open source and academic projects,Java,MySQL  PostgreSQL  Oracle  SQL Server,2002,[null]
Launchpad,Canonical Ltd.,AGPL,JavaScript  Python,PostgreSQL,2004-01,[null]
MantisBT,Various (open source contributors),GPL,PHP,ADOdb (MySQL  PostgreSQL  SQL Server  etc.),2000,[null]
Microsoft Dynamics CRM,Microsoft,Proprietary  Commercial,.NET,Microsoft SQL Server,2003,[null]
OpenProject,OpenProject Foundation e.V.,GPL,Ruby  JavaScript,MySQL  PostgreSQL  MariaDB,2010,[null]
org-mode,Carsten Dominik,GPL,Emacs,Flat file,2003,[null]
OTRS,OTRS,AGPL,Perl  JavaScript,MySQL  PostgreSQL  Oracle  SQL Server,2002,[null]
Phabricator,Facebook,Apache License,PHP,[null],2010,[null]
Pivotal Tracker,Pivotal Labs,Proprietary  free version for public projects  non-profits and academic institutions,Ruby,Ruby on Rails  MySQL  Memcached,2008,[null]
Redmine,Jean-Philippe Lang,GPLv2,Ruby,MySQL  PostgreSQL  SQLite,2006,[null]
Request Tracker,Best Practical Solutions  LLC,GPLv2,Perl,MySQL  PostgreSQL  Oracle  SQLite,1999-10-13,[null]
Roundup,Ka-Ping Yee  Richard Jones,MIT license (ZPL v 2.0 for the template system),Python,SQLite  MySQL  PostgreSQL  Berkeley DB,2001,[null]
StarTeam,originally Starbase Corporation  currently Borland,Proprietary,C++  Java  etc.,SQL Server recommended  Oracle  DB2 supported,Unknown,[null]
Supportworks,Hornbill Systems,Proprietary,C++ and PHP,SQL Server  MySQL  Oracle  Sybase,1994[3],[null]
SysAid,SysAid Technologies,Proprietary,C#  Java,Derby  Microsoft SQL Server  MySQL  Oracle,2002,[null]
Team Foundation Server,Microsoft,Proprietary  Commercial,.NET,MS SQL Server 2005 & 2008,2005,[null]
TestTrack,Seapine Software,Proprietary,C++  Qt4  JavaScript,Oracle  PostgreSQL  SQL Server  SQLite,1996,[null]
Trac,Edgewall Software,New BSD,Python,SQLite  PostgreSQL  MySQL,2006-10-01,[null]
TrackerSuite.Net,Automation Centre,Proprietary,C#,SQL Server  SQL Server Express,2006,[null]
Tuleap,enalean,GPLv2,php,LAMP  MySQL,2011,[null]
Twproject,Open Lab,Proprietary  some parts LGPL,Java,all relational (uses Hibernate),2003,[null]
Usersnap,Usersnap GmbH,Proprietary,Python  JavaScript,MongoDB ,2013,[null]
Wrike,Wrike  Inc.,Proprietary  hosted,Java,PostgreSQL,2006,[null]
YouTrack,JetBrains s.r.o.,Proprietary  stand-alone and hosted  free version  free for open source projects,Java,JavaScript and Kotlin,2009,[null]
System,Creator,License,Implementation language(s),Back end,Launch date,Refs
