Title,Status,Graphics,Setting,Subscription model,Initial release date,Discontinued date,Distribution,Notes
The 4th Coming,[null],2D (isometric),Fantasy,Buy-to-play,1999,[null],[null],Now known as T4C v2
Ace Online,[null],3D,Science fiction,Free-to-play,2006,[null],[null],[null]
AdventureQuest Worlds,[null],2D,Medieval fantasy,Freemium,2008,[null],[null],Browser-based
The Aetherlight: Chronicles of the Resistance,[null],3D,Steampunk,Buy-to-play,2016,[null],[null],[null]
Age of Conan: Hyborian Adventures,[null],3D,Fantasy,Free-to-play,2008,[null],[null],This game features a combo based combat system.
Age of Wulin,[null],3D,Martial Arts  Wuxia (fantasy),Freemium,2013,[null],[null],[null]
AIKA Online,[null],3D,Medieval fantasy,Free-to-play,2009,[null],[null],[null]
Aion: The Tower of Eternity,Active,3D,Fantasy,Free-to-play,2008,[null],[null],[null]
Albion Online,Active,3D,Medieval fantasy,Buy-to-play with optional subscription model,2017,[null],Steam,[null]
Allods Online,Active,3D,Fantasy,Freemium,2010,[null],Steam,[null]
Anarchy Online,Active,3D,Science fiction,Freemium,2001,[null],[null],[null]
Angel Love Online,[null],2D,Fantasy,Freemium,2006,[null],[null],Downloadable client (Windows only). Multiplatform: PC  PlayStation 3
ArcheAge,Active,3D,Fantasy,Freemium,2013,[null],[null],Open-sandbox player built world  large-scale crafting interactions (building own ship to sail with  etc)
Ashen Empires,[null],2D (isometric),Fantasy,Freemium,2002,[null],[null],Housing  Guilds  3 Expansions  Downloadable client (Windows only)
Asheron's Call,[null],3D,Fantasy,Pay-to-play,1999,2017-01-31[1],[null],Has player housing
Asheron's Call 2,[null],3D,Fantasy,Pay-to-play,2002,2005-12-30  2017-01-31[2],[null],[null]
Ashes of Creation,Development,3D,Fantasy,Pay to play,TBA,[null],[null],[null]
Atlantica Online,[null],3D,Fantasy,Free-to-play,2008,[null],[null],Turn-based strategy
Aura Kingdom,Active,3D,Fantasy,Free-to-play,2014,[null],[null],[null]
Battle of the Immortals,Closed,3D,Fantasy,Free-to-play,2010,2018-01-08,[null],Battle of the Immortals features an expansive pet system  a mount upgrade system  and six playable classes..
Battlestar Galactica Online,[null],3D,Science fiction,Free-to-play,2011,2019-02-01,[null],Browser-based  Battlestar Galactica license
Black Desert Online,Active,3D,Medieval fantasy,Freemium (Asia)  Buy-to-play (EU/NA),2015,[null],Steam,Active  open-sandbox player built world - Manual aim action combat
Blade & Soul,Active,3D,Fantasy  martial arts,Freemium,2012,[null],[null],Manual aim action combat (within melee/short ranged combat)
Cabal Online,[null],3D,Fantasy,Free-to-play,2005,[null],[null],[null]
Camelot Unchained,Development,3D,Fantasy  Mythology (Arthurian)(Celtic)(Norse),Pay-to-play,2019,[null],[null],[null]
Champions Online,Active,3D,Superheroes,Freemium,2009,[null],[null],[null]
City of Heroes,[null],3D,Superheroes,Freemium,2004-04-27,2012-11-30,[null],Formerly pay-to-play
City of Villains,[null],3D,Superheroes,Freemium,2005-10-31,2012-11-30,[null],[null]
Clan Lord,[null],2D,Fantasy,Pay for account; free-to-play,1998,[null],[null],Downloadable client for Windows & Mac
Clone Wars Adventures,[null],3D,Sci-fi,Free-to-play,2010-09-15,2014-03-31,[null],[null]
Crowns of Power,[null],3D,Fantasy,Free-to-play,2008,[null],[null],[null]
Dark Age of Camelot,Active,3D,Mythology (Arthurian),Pay-to-play; Free-to-play (2019)[3],2001,[null],[null],[null]
Dark Ages,[null],2D,Mythology (Celtic),Pay for account; free-to-play,1999,[null],[null],[null]
Dark and Light,[null],3D,Fantasy,Pay-to-play,2006,2008,[null],[null]
Darkeden,[null],2D,Horror,Freemium,2002,2013,[null],[null]
Darkfall,Closed,3D,Fantasy,Pay-to-play,2009,2012-11-15,[null],Independent development continues as Darkfall: New Dawn and Rise of Agon.
Darkfall Unholy Wars,Closed,3D,Medieval fantasy,Pay-to-play,2013,2016-05-28,[null],[null]
DarkSpace,Active,3D,Science fiction,Free-to-play,2001,[null],[null],Open source
DC Universe Online,[null],3D,Superheroes,Freemium,2011,[null],[null],Base game is free-to-play with restrictions
Dead Frontier,[null],3D,Horror,Freemium,2008,[null],[null],Pay for extras  Browser-based
Defiance,[null],3D,Post-apocalyptic,Free-to-play,2013,[null],[null],Tie-in to the Syfy show of the same name
Digimon Battle Online,Active,3D,Fantasy,Freemium,2002,2013 in the west  still running in South Korea,[null],[null]
