[null],Standalone executables creation support,Symbolic computation support,OOP support,GUI creation support,Multi-dimensional arrays as primitive data type,Centralized extension library website,Can call code in other languages,Can be called from other languages
Analytica,No,No,Yes,Yes,Yes,Yes,COM  Excel,Excel  COM  .NET
Dyalog APL,Yes[12],Yes,Yes[13],Win32  .NET  WPF  HTML/JS,Yes,Yes,COM  .NET  WebServices  Shared Libraries  DLLs  NAG  R  JavaScript[14],COM  .NET  WebServices[14]
GNU Data Language,No,No,Yes,GUI Widgets since v.0.9 but still incomplete,Yes,No,C  Python,Python
GNU MCSim,Yes,No,No,XMCSim with TCL/TK and wish,No,No,C,R
GNU Octave,Yes with mkoctfile,only with GiNaC extension,Yes[15],Yes,Yes,Yes[16],C++  Fortran [17] Perl [18] Tcl[19],Java [20] Perl [18] C++[21]
J,No,Yes,Yes,Yes,Yes,Yes,JavaScript,JavaScript
Maple,No,Yes,Yes[32],Yes,Yes,Yes[33],C  C#  Fortran,MATLAB [34] Excel [35] VisualBasic  Java  and C[36]
MLAB,No,Yes,No,Yes,Yes,No,No,No
PDL,Yes[55],No,Yes[56],Yes[57],Yes,Yes[58],C via perlXS; C  Python  F77  etc. via Inline,Perl  C[59]
SageMath,No,Yes,Yes,No,Yes,Yes[68],Many languages[69][70][71],Yes (any language that can call Python)
TK Solver,with extension,No,Yes,with extension,Yes,Yes,.NET Excel,Unknown
