Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3[1],Limited MB plan4,Unlimited MB plan4,$/MB plan4,Unlimited BW 16,Provider,Cloud hosted Net Drive5,Sync7,Autodetect changes12,Public file hosting8,physical media restore9,Server location(s)10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green Hosting,OpenSaaS
Acronis,Yes,Enterprise only  with limited data,Yes,Yes,Yes,Yes,Optional[2],Yes,Optional (Enterprise),Yes (Only win/mac),No,Yes,Acronis,No,Yes,[null],[null],[null],United States  Europe,No,No limit,Yes,[null],[null],[null]
Backblaze,Yes,No,Yes,Yes,Yes,Yes[3],No[3] Company must be given passphrase (to private key) to restore any data.,No,No,Yes,No,Yes,Backblaze,[null],[null],Yes,Yes,Yes,United States  Europe,No,No limit,Yes,No,[null],[null]
Barracuda Backup Service,Yes,Yes,Yes,[null],[null],Yes[4],No,?,No fee per computer,No,Yes,[null],Barracuda Backup Service,Yes[citation needed],Yes,[null],No,Yes,United States  Canada  APAC  Europe,No,[null],[null],?,[null],[null]
Baidu Cloud,Yes,No,Yes,Yes,Yes,Yes[5],No,?,No,No,Yes,[null],Baidu,[null],Yes,Yes,Yes,[null],China,2 TB,4 GB (Non-member) 10 GB (Member) 20 GB (Super Member). [6],[null],?,[null],[null]
Box,Yes,Partial (no offline sync  access through DAV server)[7][8],Yes,Yes,Yes,Yes[9],No[9],?,Yes,No,[null],[null],Box,Yes[10],Yes[11],Yes,[null],[null],United States,10 GB,250 MB (Free) 5 GB (Paid),[null],[null],[null],[null]
Carbonite,Yes,No,Yes,Yes,Yes,Yes,Partial  optional for Windows only[12],?,Yes (Business only),Yes (Home only),No[13],Yes [14],Carbonite,[null],Yes,Yes,Yes[15],[null],United States,No,4 GB,Yes[16],Yes,[null],[null]
CloudBerry Backup,Yes,Yes,Yes,No,No,Yes[17],Yes[17][failed verification],Yes,[null],[null],[null],Yes,CloudBerry Backup,Yes,Yes,Yes,[null],Yes,Global,No,No limit,Yes,Yes,[null],[null]
CloudMe,Yes,Yes,Yes,Yes,Yes,No  but 3rd party apps available[citation needed],[null],?,[null],No,[null],Yes,CloudMe,Yes[18],Yes,Yes,[null],[null],Sweden,3 GB,150 MB (Free Accounts) No limit (Premium Accounts),No Limit,No,[null],[null]
Comodo Backup,Yes,No,No,[null],[null],Yes[19],No,?,Yes,No,Yes (5),[null],Comodo Backup,No,No,[null],No,[null],United States,No,[null],[null],[null],[null],[null]
CrashPlan,Yes,Yes,Yes,Yes,Yes,Yes[20],Yes  except for web restore[21],Yes,No,Yes,No,Yes[22],CrashPlan,No,No,Yes[23],No,Yes,United States  Australia[24],No,No Limit,Yes[25],No,[null],[null]
Dropbox,Yes,Does not work on filesystems other than ext4,Yes,Yes,Yes,Yes,No[26],?,[null],[null],Yes,[null],Dropbox,No,Yes,Yes,Yes,[null],[null],2 GB,No Limit[27],[null],[null],[null],No
Dropmysite,Yes,Yes,Yes,[null],[null],Yes,No,?,Yes,No,No,Yes,Dropmysite,[null],Yes,Yes,Yes,[null],Global,2 GB,No limit,[null],?,[null],[null]
Egnyte,Yes,Yes,Yes,[null],[null],Optional[28],Optional[28],?,[null],[null],[null],[null],Egnyte,Yes[29],Yes,Yes,Yes,[null],United States,No,No limit,[null],?,[null],[null]
ElephantDrive,Yes,Yes[30],Yes,Yes[31],[null],Yes,Optional (off by default) [32],?,Yes,No,[null],[null],ElephantDrive,Yes[33],Yes[34],Yes,Yes[35],[null],United States,2 GB,[null],Yes,?,No  Amazon AWS[36][37],[null]
Google Drive,Yes,No  no provider-sanctioned Linux support.[38][39][40],Yes,Yes,Yes,Yes,No,?,[null],Yes (Enterprise Only) [41],Yes,Yes,Google Drive,No,Yes,Yes,Yes,[null],United States  Worldwide,15 GB,5 TB[42],[null],[null],Partial: 34%[43],No
IASO Backup,Yes,Yes,Yes,[null],Yes[44],Yes[44],Yes,?,Yes,No,Yes,[null],IASO Backup,No,No,No,Yes,[null],United States  Worldwide,No,No limit,Yes,Yes,[null],[null]
iCloud,Yes,Yes  via Storage Made Easy client,Yes,Yes  via Storage Made Easy client,Yes,Yes,No,?,No,No,Yes,[null],iCloud,?,Yes,?,?,[null],unknown,1 GB (everyone) [45] 5 GB (Apple users only) [46],[null],[null],[null],Yes  94%[36],No
iDrive,Yes,Yes  but you have to manually run perl scripts.[47],Yes,Yes,Yes,Yes[48],No,[null],No,No,Yes[49],[null],iDrive,[null],Yes,Yes,Yes,Yes,unknown,5 GB,[null],Yes,[null],[null],[null]
Infrascale,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Optional,Yes,Yes,No,Yes,Infrascale,No,Yes,Yes,Yes,Yes,United States  Canada  United Kingdom  South Africa  Australia  New Zealand  Jamaica,No,No limit,Yes,Optional,[null],[null]
Iperius Online Storage,Yes,No,No,[null],[null],Yes[50],Optional[50],?,50  100  200  500 GB,No,No,Yes,Iperius Online Storage,[null],Yes,Yes,No,Iperius Online Storage,[null],[null],No limit,[null],[null],[null],[null]
Intronis,Yes,No,Yes,Yes,Yes,Yes,Yes,configurable,Yes,No[51],Yes,Yes,Intronis,Yes,Yes[52],Yes,No,Yes[53],United States  Canada,No,No limit,Yes,Optional,Yes,[null]
Jumpshare,Yes,No,Yes,No,Yes,Yes[54],[null],[null],Yes,No,No,Yes[55],Jumpshare,[null],Yes,Yes,Yes,No,United States  Europe,2 GB,250 MB on free  Unlimited on Jumpshare Plus,[null],[null],Yes,[null]
Jungle Disk,Yes,Yes,Yes,Yes,Yes,Yes[56],Yes[56],Yes,[null],[null],Yes,Yes,Jungle Disk,Yes[57],Yes,Yes,Yes,[null],United States  Europe,No,No limit in Backup Vault,Yes,[null],Partial  Amazon AWS[36][58] or Rackspace Cloud Files.,[null]
KeepVault,Yes,No,No,[null],[null],Yes[59],Yes[60],?,Yes,No,Yes,[null],KeepVault,[null],[null],Yes,[null],[null],United States,[null],20 GB,[null],[null],[null],[null]
Livedrive,Yes,No,Yes,Yes,Yes,No,No,?,Yes,Online Backup only,No,Yes,Livedrive,Yes (paid-only)[61],Yes,Yes,Yes,Yes,United Kingdom,No,No limit,Yes,[null],[null],[null]
MediaFire,Yes,Upload only [1],Yes,Yes,Yes,No,No,?,Yes,No,Yes,Yes,MediaFire,No,Yes,Yes,Yes,[null],United States,10 GB,No Limit,No,No,[null],[null]
Mega,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[62],Yes,No,Yes,Yes,Mega Ltd.,No,Yes,Yes  using MEGAsync client,Yes,No,Europe  New Zealand,15 GB + 35 GB first 30 days,No limit,No,No,[null],[null]
MiMedia,Yes,No,No,[null],[null],Yes[63],No,?,Yes,No,Yes,Yes,MiMedia,No[64],No,Yes,No,No,United States,7 GB,3 GB,Yes,[null],[null],[null]
OneDrive,Yes,No  see note[65],Yes,Yes[66],Yes,Yes[67],No,?,Yes,No,[null],[null],OneDrive,No,Yes,[null],[null],[null],[null],5 GB for new users  25 GB for older users,10 GB,[null],[null],Partial  29%[36],No
SpiderOak,Yes,Yes,Yes,Download Only,Download Only,Yes[68],Yes[69],?,Yes,Business only (min 10 users),Yes,Yes,SpiderOak,No[70],Yes,Yes,Yes,[null],[null],(2 GB free for 60 days only),No limit,Yes,Yes[71],[null],No
SugarSync,Yes,No,Yes,Yes,Yes,Yes[72],No[73],?,Yes,No,No,[null],SugarSync,[null],Yes,Yes,Yes (SugarSync account needed for folders),[null],[null],No,100 MB (web) No limit (client app)[74],[null],[null],[null],[null]
Syncplicity,Yes,No,Yes,Yes,Yes,Yes[75],No[75],?,[null],[null],Yes,[null],Syncplicity,[null],Yes,Yes,Yes,[null],United States,10 GB,[null],[null],[null],[null],[null]
Tarsnap,Yes via Cygwin,Yes,Yes,No,No,Yes,Yes[76],?,No,No,Yes,[null],Tarsnap,No,[null],[null],[null],[null],[null],No,[null],[null],[null],No  Amazon AWS[36][77],No
Trend Micro SafeSync,Yes,Partial,Yes,Yes  via Storage Made Easy client,Yes  via Storage Made Easy client,[null],No,?,[null],[null],Yes,[null],Trend Micro SafeSync,Yes[citation needed],Yes,[null],Yes,[null],United Kingdom,[null],[null],[null],[null],[null],[null]
Tresorit,Yes,Yes[78],Yes,Yes,Yes,Yes,Yes,Yes[79],Yes,No,Yes,Yes,Tresorit,Yes[80],Yes,Yes,Yes,No,Ireland  Netherlands[81],3 GB[82],0.5 GB (free)  10 GB (paid)[83],Yes,No,[null],[null]
Unitrends Vault2Cloud,Yes,Yes,Yes,[null],[null],Yes[84],No,?,No,Yes,Yes,[null],Unitrends Vault2Cloud,Yes[citation needed],Yes,[null],No,Yes,United States,No,[null],[null],[null],[null],[null]
UpdateStar Online Backup,Yes,No,No,[null],[null],Yes[85],No[86],?,Yes[87],Yes,[null],[null],UpdateStar Online Backup,[null],[null],[null],[null],[null],Europe,[null],[null],[null],[null],[null],[null]
Yandex.Disk,Yes,Yes[88],Yes,Yes,Yes,No[89],No,?,Yes,[null],[null],[null],Yandex.Disk,Yes[90],Yes,Yes,Yes,[null],Russia,10 GB,50 GB,[null],[null],[null],[null]
Zetta.net,Yes[91],Yes,Yes,[null],[null],Yes,No,?,Yes,No,Yes[92],Yes,Zetta.net,Yes[93],Yes,Yes,No,Yes,United States[94],No,No limit,Yes,Yes,[null],[null]
Zmanda Cloud Backup,Yes,No,No,[null],[null],Optional[95],Optional[95],?,[null],[null],Yes,[null],Zmanda Cloud Backup,Yes[citation needed],[null],[null],[null],Yes,United States  Europe  Singapore  Japan,[null],No limit,Yes,Yes,Partial  Amazon AWS or Google Cloud Storage[36][96],[added]
