Name,RAID,quota,Resource access control,encryption,other special file system features
Linux,Yes,Yes,Unix  ACL  MAC,Yes,LVM  EVMS
FreeBSD,Yes,Yes,Unix  ACL  MAC,Yes,GEOM  snapshots  background fsck  user-mountable file systems
OpenBSD,Yes,Yes,Unix,Yes,[null]
NetBSD,Yes,Yes,Unix  Veriexec,Yes,Snapshots  Journaling
DragonFly BSD,Yes,Yes,Unix,Yes,HAMMER  Snapshots  Checksumming  Deduplication
OpenSolaris  illumos,Yes,Yes,Unix  ACL  MAC,Yes,Solaris Volume Manager  ZFS  snapshots  transparent data repair
AuroraUX,Yes,Yes,Unix  ACL  MAC,[null],Solaris Volume Manager  ZFS  snapshots  transparent data repair
Darwin  OpenDarwin,[null],Yes,Unix  ACL,Yes,[null]
MINIX,[null],[null],Unix,[null],[null]
FreeDOS,[null],[null],No,[null],[null]
Genode,No,No,No,No,Per-process virtual file-system layer
KolibriOS,[null],[null],No,[null],[null]
MenuetOS,[null],[null],No,[null],[null]
GNU,[null],[null],Unix,[null],[null]
ReactOS,[null],[null],No,[null],[null]
L4  Fiasco  Pistachio,[null],[null],[null],[null],[null]
Plan 9,No,No,Unix-like  no root,No,snapshots  venti archival storage  per-process namespace  user-mountable file systems
AROS,[null],[null],[null],[null],[null]
Syllable,[null],[null],Unix,[null],64-bit  journaling  extended file attributes
Inferno,No,No,Unix-like  no root,No,per-process namespace  user-mountable file systems
FreeRTOS,[null],[null],[null],[null],[null]
eCos,[null],[null],[null],[null],[null]
RTEMS,[null],[null],[null],[null],[null]
HelenOS,No,No,No,No,No
E/OS,Yes,Yes,Unix,Yes,No
Name,RAID,quota,Resource access control,encryption,other special file system features
