Product,Manufacturer,Web browser,Wireless synching,Ad hoc,On-demand,Web radio/TV
Archos 5  7,Archos,Opera,[null],[null],[null],[null]
Archos 604 WiFi  704 WiFi,Archos,Opera 8.5,file browsing,No,No,[null]
Archos 605 WiFi  705 WiFi,Archos,Opera 9,file browsing,No,Content Portals,Yes
Archos PMA400,Archos,Opera,via FTP,Yes,No,[null]
Cowon Q5W,Cowon,IE Mobile,[null],[null],[null],Yes (using Flash-based Internet Radio sites)
Ibiza Rhapsody,Haier,Minimo,Yes,No,Rhapsody,radio only
iPod Touch,Apple Inc.,Webkit,Yes,Yes,iTunes  Spotify,Yes
Samsung Galaxy Player,Samsung,Webkit,[null],[null],Android Marketplace,[null]
Sansa Connect,SanDisk,No,[null],[null],Yahoo! Music,[null]
Sony PSP,Sony,NetFront,Yes,Yes,PlayStation Store,Yes
Sony Walkman X Series,Sony,NetFront,No,Yes,[null],Yes
ZEN X-Fi,Creative,No,media server,No,Creative MediaBox,No
Zune 4  8,Microsoft,No,Yes,Yes,Zune Marketplace,[null]
Zune 30,Microsoft,No,Yes,Yes,Zune Marketplace,[null]
Zune 80  120,Microsoft,No,Yes,Yes,Zune Marketplace,[null]
Zune HD,Microsoft,IE Mobile 6,Yes,Yes,Zune Marketplace,[null]
