Name,FM radio,Microphone,Line-in recording,DVR recording,Playback while charging,USB host,HDMI out
Archos 105,No,No,No,No,Unknown,[null],[null]
Archos 405,No,No,No,Yes,Unknown,[null],[null]
Archos 5,With FM remote,With FM remote,With dock,With DVR dock,With dock,[null],[null]
Archos 605 WiFi / GPS,No,No,No,Yes,Yes,[null],[null]
Archos 705 WiFi,No,No,No,Yes,Unknown,[null],[null]
Cowon A3,Yes,Yes,Yes,No,Unknown,Yes,[null]
Cowon D2,Yes,Yes,Yes,No,Yes,[null],[null]
Cowon Q5W,Yes,Yes,No,No,Unknown,[null],[null]
Gigabeat T-Series,No,No,Yes,No,Unknown,[null],[null]
GP2X F-200,No,No,No,No,Unknown,[null],[null]
iPod,Nano generations 5 & 6 only,Yes,No,No,Yes,[null],iPod Touch only
iriver clix 2G,Yes,Yes,No[98],No,Unknown,[null],[null]
PSP 1000 Series,No,No,No,No,Yes,[null],[null]
PSP Slim & Lite 2000 Series,No,Accessory only,No,No,Yes,[null],[null]
PSP Slim & Lite 3000 Series,No,Yes,No,No,Yes,[null],[null]
Samsung Galaxy Player,Yes,Yes,No,No,Yes,No,Korean version only
Samsung T10,Yes,Yes,No,No,Power only; no data[99],[null],[null]
Samsung P2,Yes,Yes,No,No,Power only; no data[99],[null],[null]
Sansa Fuze,Yes,Yes,No,No,Power only; no data[99],[null],[null]
Sansa Fuze+,with pause and record,Yes,No,No,Power only; no data[99],[null],[null]
Sansa View,Yes,Yes,No,No,Power only; no data[99],[null],[null]
Walkman NWZ-A810 series,No,No,No,No,Yes,[null],[null]
ZEN,Yes,Yes,No,No,Yes,[null],[null]
ZEN Vision W,Yes,Yes,No,No,Power only; no data[99],[null],[null]
Zune,Yes (also on HD Radio),No,No,No,Yes,[null],Yes  Zune HD
Zvue 260,No,No,No,No,No,[null],[null]
