Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
2-plan,Yes[1],Yes,Yes,Proprietary  Open source[2],Java and PHP
24SevenOffice,Yes,No,Yes,Proprietary,[null]
Actionspace,Yes,No,Yes,Proprietary,[null]
Apache Allura,Yes,Yes,[null],Apache License,Python
Apache OFBiz,Yes,Yes,Yes,Apache License,Java  XML  FreeMarker  Groovy  JavaScript
Apache Bloodhound,Yes,Yes,Yes,Apache License,Python
Asana,Yes,No,Yes,Proprietary,[null]
Assembla,Yes,Yes,Yes,Proprietary,[null]
Axosoft,Yes,Yes,Yes,Proprietary,[null]
Basecamp,Yes[3],No[4],Yes,Proprietary,Ruby
BigGantt,Yes,Yes,Yes,Proprietary,Java  Angular
BigPicture,Yes,Yes,Yes,Proprietary,Java  Angular
Calligra Plan,No,File-based,No,GPL,C++ and Java
CEITON,Yes,Yes,Yes,Proprietary,ASP.NET  JavaScript
Clarizen,Yes[5],No,Yes[5],Proprietary,[null]
Collabtive,Yes,Yes,Yes,Open source (core only),PHP
Compuware Changepoint,Yes,Yes,Yes,Proprietary,[null]
ConceptDraw Project,No,Yes,No,Proprietary,[null]
ConceptDraw PLAN,Yes,No,Yes,Proprietary,PHP and Java
Concerto Project Management,Yes,Yes,Yes,Proprietary,[null]
Copper Project,Yes,Yes,Yes,Proprietary,[null]
dotProject,Yes,Yes,Yes,GPL,PHP
DynaRoad,No,Unknown,Unknown,Proprietary,[null]
Easy projects,Yes[6],Yes[6],Yes[6],Proprietary,ASP.NET
Eclipse PPM software,Yes,No,Yes,Proprietary,[null]
Endeavour Software Project Management,Yes,Unknown,Unknown,GPL,Java
eGroupWare,Yes,Unknown,Unknown,GPL,PHP
enQuire,Yes,Unknown,Yes,Proprietary,Java
FastTrack Schedule,No,Yes,No,Proprietary,[null]
Feng Office Community Edition,Yes,Yes,Yes,AGPLv3,PHP
FinancialForce.com,Yes,Unknown,Yes,Proprietary,[null]
FogBugz,Yes,Yes,Yes,Proprietary,ASP.NET
Fossil-scm,Yes[7],Yes[8],Yes[9],2-clause BSD license,SQLite and C
