[null],TGA,RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
Ability Photopaint,?,?,Yes,Yes,Yes,No,[null],Yes,Yes,Yes,No,No,?,[null],[null]
ACD Canvas,?,?,Yes,Yes,Yes,No,[null],Yes,Yes,Yes,Yes,No,?,[null],[null]
ACDSee (Win),?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?,?,?,[null]
Acorn Image Editor,?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?,?,?,[null],[null]
Adobe Fireworks*,?,?,Yes,Yes,Yes,Yes,[null],Yes,Yes,Yes,No,No,[null],[null],[null]
Adobe Photoshop,?,Yes,Yes,Yes,Yes,Via plug-in[31],Yes,Yes,Yes,Yes,No,No,Yes,[null],[null]
Adobe Photoshop Lightroom,?,Yes,No,Via plug-in[32],Yes,Via plug-in[33],No,Via plug-in[32],Yes,Partial[34],?,?,?,[null],[null]
Affinity Photo,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes
Autodesk SketchBook Pro,?,?,Yes,Yes,Yes,Yes,[null],Yes,Yes,Yes,No,No,No,[null],[null]
Artipic,?,Yes,Yes,Yes,Yes,Yes,[null],Yes,Yes,Partial,No,No,Yes,[null],[null]
ArtRage,?,?,Yes,Yes,Yes,No,[null],Yes,Yes,Yes,No,No,?,[null],[null]
Artweaver,?,No,Yes,Yes,Yes,Partial,[null],Yes,Yes,Partial,No,No,Yes,[null],[null]
Bibble*,?,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,[null],[null]
Brush Strokes Image Editor,?,?,Yes,Yes,Yes,No,[null],Yes,Yes,No,No,No,?,[null],[null]
Capture One,?,Yes,Yes,Yes,Yes,Yes,[null],Yes,Yes,Yes,?,?,?,[null],[null]
Chasys Draw IES,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,[null]
CinePaint,?,Yes,Yes,Yes,Yes,No,[null],Yes,Yes,Partial,No,Yes,?,[null],[null]
CodedColor PhotoStudio Pro,?,?,Yes,Yes,Yes,Yes,[null],Yes,Yes,Yes,No,No,Yes,[null],[null]
Corel PaintShop Pro,?,Yes,Yes,Yes,Yes,Yes,[null],Yes,Yes,Partial[35],Yes,No,Yes,[null],[null]
Corel Painter,?,?,Yes,Yes,Yes,No,[null],No,Yes[36],Yes,Yes,No,Import,[null],[null]
Corel Photo-Paint,?,Yes,Yes,Yes,Yes,Yes,[null],Yes,Yes,Yes,Yes,No,Yes,[null],[null]
darktable,?,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,[null],[null]
Deluxe Paint*[37],No,No,No,No,No,No,[null],No,No,No,No,No,No,[null],[null]
DigiKam,?,Yes,Yes,Yes,Yes,Yes,[null],Yes,Yes,No,No,Yes,?,[null],[null]
Erdas Imagine,?,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Import,[null],[null]
Fatpaint,?,No,No,No,Yes,No,No,Yes,No,No,No,No,No,[null],[null]
Fotografix,?,Partial,Yes,Yes,Yes,No,No,Yes,Yes,Import only,No,Import only,Import only,[null],[null]
GIMP,Yes[38],Yes,Yes,Yes,Yes,Yes[39],Via plug-in[40],Yes,Yes[41],Yes,Yes,Yes,Yes,Yes,Yes[42]
GIMPshop,?,?,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,[null],[null]
GrafX2,?,No,Yes,Yes,Import only,No,No,Yes,Import only,No,No,No,Yes,[null],[null]
GraphicConverter,?,Partial[43],Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[44],Yes,[null],[null]
HDR PhotoStudio,?,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,[null],[null]
Helicon Filter,?,Yes,Yes,Import,Yes,Yes,No,Yes,Yes,Yes,No,No,No,[null],[null]
ImageMagick,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,[null],[null]
iPhoto*,?,Yes,?,?,Yes,?,No,Yes,Yes,Yes,?,?,Yes,[null],[null]
IrfanView,?,Via plug-in,Yes,Yes,Yes,Via plug-in,Via plug-in,Yes,Yes,Yes,Yes,No,Yes,[null],[null]
Iridient Developer,?,Yes,Yes,Yes,Yes,Yes,[null],Yes,Yes,Yes,?,?,?,[null],[null]
Kolourpaint,?,?,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Import,Yes,[null],[null]
Krita,?,Yes,Yes,Yes,Yes,Yes,[null],Yes,Yes,Yes,No,Yes,Import,Yes,[null]
LiveQuartz,?,Partial,Yes,Yes,Yes,Yes,No,Yes,Yes,Partial,?,?,?,?,Yes
LazPaint,?,[null],Yes,Yes,Yes,[null],[null],Yes,[null],[null],[null],[null],[null],Yes,[null]
MacPaint*,?,No,?,No,No,No,No,No,No,No,No,No,No,[null],[null]
Microsoft Office Picture Manager*,?,?,Yes,Yes,Yes,No,[null],Yes,First page only[45],No,No,No,Yes,[null],[null]
Microsoft Paint,?,No,Yes,Partial[46],Yes,No,No,Partial[46],Yes,No,No,No,No,[null],[null]
Microsoft Photo Editor*,?,No,Yes,Yes,Yes,No,[null],Yes,No,No,No,No,Import,[null],[null]
mtPaint,Yes,No,Yes,Yes,Yes,?,No,Yes,No,No,No,No,No,No,No
OpenCanvas,?,?,Yes,No,Yes,No,No,Yes,No,Yes[47],No,No,?,[null],[null]
Paint.NET,?,Yes,Yes,Yes,Yes,Yes,Yes[48],Yes,Via plug-ins[49],Partial,No,No,Yes,[null],[null]
Paint Tool SAI,Yes,No,Yes,No,Yes,?,No,Yes,No,Yes,No,No,No,No,No
PC Paintbrush*,?,?,No,Yes,No,No,[null],No,Yes,No,No,No,Yes,[null],[null]
Photogenics,?,?,Yes,Yes,Yes,?,[null],Yes,Yes,Yes,?,?,Yes,[null],[null]
PhotoLine,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,[null],[null]
PhotoPerfect*,?,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No layer support,Yes,No,Yes,[null],[null]
Photos,?,Yes,?,?,Yes,?,No,Yes,Yes,Yes,?,?,Yes,[null],[null]
