Research Networking Tool,h-index,Citation count,Altmetrics,SNIP and SJR,Journal Impact Factor*,Other,Comment
Academic Room,[null],[null],[null],[null],[null],[null],[null]
Activity Insight,Yes,Yes,Yes,Yes,Yes,[null],[null]
C-IKNOW,[null],[null],[null],[null],[null],[null],[null]
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),Yes,Yes,Yes,Yes,Yes,[null],[null]
Community Academic Profiles - CAP,[null],[null],[null],[null],[null],[null],[null]
Converis,Yes,Yes,Yes Can integrate with altmetric data feed,No,Yes,Category Normalized Citation Impact  Journal Normalized Citation Impact  Percentile in Category  Highly Cited Paper  Hot Paper  International Collaboration  Institutional Collaboration  Industry Collaboration and Open Access,[null]
CurvitaTM Profile Manager,[null],[null],[null],[null],[null],[null],[null]
CUSP - Columbia University Scientific Profiles,[null],[null],[null],[null],[null],[null],[null]
Digital Vita,[null],[null],[null],[null],[null],[null],[null]
Elsevier's Pure (integrated with SciVal),Yes,Yes,Yes Altmetric and PlumX,Yes,No,Field-weighted Citation Impact  Number of Authors  CiteScore,[null]
Elsevier's SciVal,Yes,Yes,Yes Views data from ScienceDirect and Scopus,Yes,No,20+ indicators ranging from h  g & m indices  to Publications in Top Journal Percentiles  Field-Weighted Citation Impact  Academic-Corporate Collaboration Impact & Views per Publication,[null]
Epernicus Solutions & Epernicus Network,[null],[null],[null],[null],[null],[null],[null]
ERIM Member Profile System (ERIM MIS),[null],[null],[null],[null],[null],[null],[null]
Esploro,YesPlanned,Yes integrated with external tools,Yes,Yes planned,Yes planned,Multiple research-related indicators to measure research outputs usage and impact,[null]
EUREKA!TM Enhancing Student Research,[null],[null],[null],[null],[null],[null],[null]
Expertise @ Maryland,[null],[null],[null],[null],[null],[null],[null]
Faculty Profile System,[null],[null],[null],[null],[null],[null],[null]
Faculty Research Information Profile (FRIP),[null],[null],[null],[null],[null],[null],[null]
Faculty Scholarly Productivity Index,[null],[null],[null],[null],[null],[null],[null]
GENIUS,[null],[null],[null],[null],[null],[null],[null]
Google Scholar,Yes,[null],[null],[null],[null],[null],[null]
HUBzero,[null],[null],[null],[null],[null],[null],[null]
iamResearcher,[null],[null],[null],[null],[null],[null],[null]
iAMscientist,[null],[null],[null],[null],[null],[null],[null]
i2iConnect,[null],[null],[null],[null],[null],[null],[null]
InCites,Yes,Yes,Yes Recorded Future partnership provides customized newsfeed and instition activity from web content,No,Yes,[null],[null]
INDURE,[null],[null],[null],[null],[null],[null],[null]
LatticeGrid,[null],[null],[null],[null],[null],[null],[null]
Lattes Database,[null],[null],[null],[null],[null],[null],[null]
LinkedIn,No,No,None,[null],[null],[null],[null]
Life Science Network,No,No,Yes (views counts  recommendations  rating scores calculated from anonymous and non-anonymous contributions),No,No (but journals can be entered into the database and their IF indicated),[null],[null]
Loki,[null],[null],[null],[null],[null],[null],[null]
Lyterati,[null],[null],[null],[null],[null],[null],[null]
McCormick Collaboration Visualization Tool,[null],[null],[null],[null],[null],[null],[null]
MizzouLinks,[null],[null],[null],[null],[null],[null],[null]
MyScienceWork,[null],[null],[null],[null],[null],[null],[null]
OSU:pro,[null],[null],[null],[null],[null],[null],[null]
Pivot,[null],[null],[null],[null],[null],[null],[null]
Profiles,[null],[null],[null],[null],[null],[null],[null]
ReachNC,Yes,[null],[null],[null],[null],[null],[null]
Research Accelerator,[null],[null],[null],[null],[null],[null],[null]
ResearcherID,Yes,Yes,[null],[null],[null],[null],[null]
SciENcv,[null],[null],[null],[null],[null],[null],[null]
Symplectic Elements,Yes,Yes,Yes,Yes,Yes,[null],[null]
VIVO,[null],[null],Yes,[null],[null],[null],[null]
Yaffle,[null],[null],[null],[null],[null],[null],[null]
