Rank,Country and (Argentine provinces),Intl.&nbsp;$
1,[null],86.008
2,[null],82.441
3,[null],53.738
4,[null],51.226
5,[null],50.199
6,[null],47.440
—,'''',43.847
7,[null],43.196
8,[null],42.110
9,[null],40.558
10,[null],40.471
11,[null],39.915
12,[null],39.887
13,[null],39.098
14,[null],38.894
15,[null],37.334
16,[null],37.304
17,[null],36.918
18,[null],36.416
19,[null],36.358
20,[null],36.320
21,[null],35.539
22,[null],34.662
23,[null],34.205
24,[null],34.116
25,(Taiwan),30.912
26,[null],30.681
27,[null],30.631
28,[null],30.589
29,[null],29.853
30,[null],29.521
31,[null],28.474
32,[null],27.735
33,[null],27.692
34,[null],27.083
-,Santa Cruz,26.438
-,Tierra del Fuego,25.993
35,[null],25.118
36,[null],24.674
37,[null],23.971
38,[null],23.814
—,Neuquén,23.380
—,Chubut,22.983
39,[null],22.232
40,[null],22.097
41,[null],20.829
42,[null],20.561
43,[null],20.338
—,Buenos Aires City,20.036
44,[null],19.553
45,[null],19.340
46,[null],18.977
47,[null],18.977
48,[null],18.575
49,<ref>The IMF is using a 2008 population estimate based on a 2001 census whose validity has been called into question. A 2003 U.S. State Department report on Equatorial Guinea stated that "although the 2002 (sic) census estimated the population at 1.015.000  credible estimates put the number at closer to 500.000. The opposition claimed that the Government inflated the census in anticipation of the December presidential election. (...) Opposition leaders charged earlier in the year that census results showing a twofold population increase were flawed and that numbers were inflated to perpetuate election fraud." https://2001-2009.state.gov/g/drl/rls/hrrpt/2002/18181.htm</ref>,18.058
50,[null],17.537
51,[null],17.106
52,[null],15.948
—,Río Negro,15.046
53,[null],14.907
—,Buenos Aires,14.773
—,San Luis,14.649
54,[null],14.545
55,[null],14.534
56,[null],14.529
-,[null],14.408
57,Santa Fe,14.216
58,[null],14.192
—,San Juan,14.154
59,[null],14.081
—,Catamarca,14.105
60,[null],13.826
—,Mendoza,13.795
—,Córdoba,13.708
—,La Pampa,13.658
61,[null],13.139
—,Jujuy,13.089
62,[null],13.006
63,[null],12.806
64,[null],12.785
65,[null],12.600
—,Salta,12.594
—,Santiago del Estero,12.532
—,Entre Ríos,12.420
66,[null],12.322
67,[null],12.313
—,Corrientes,12.148
—,Misiones,12.099
68,[null],12.011
—,Formosa,11.616
—,Chaco,11.516
69,[null],11.464
70,[null],11.434
71,[null],11.362
72,[null],11.111
73,[null],11.052
74,[null],10.810
75,[null],10.750
76,[null],10.735
—,Tucuman,10.811
77,[null],10.466
—,World<ref>World GDP (PPP) & Country population  World Economic Outlook Database-October 2009  International Monetary Fund. Note: Per capita values were obtained by dividing the PPP GDP data by the population data for 182 countries. Population data for Montenegro were obtained by dividing its PPP GDP by its PPP GDP per capita. Accessed on October 1  2009.</ref>,10.433
—,La Rioja,10.414
78,[null],10.163
79,[null],10.136
80,[null],10.133
81,[null],9.164
82,[null],8.967
83,[null],8.634
84,[null],8.619
85,[null],8.594
86,[null],8.239
87,[null],8.229
88,[null],8.188
89,[null],8.002
90,[null],7.954
91,[null],7.786
92,[null],7.624
93,[null],7.564
94,[null],7.342
95,[null],6.897
96,[null],6.709
97,[null],6.612
98,[null],6.252
99,[null],6.122
100,[null],5.970
101,[null],5.897
102,[null],5.792
103,[null],5.757
104,[null],5.749
105,[null],5.674
106,[null],5.537
107,[null],5.382
108,[null],5.312
109,[null],4.967
110,[null],4.907
111,[null],4.869
112,[null],4.786
113,[null],4.757
114,[null],4.589
115,[null],4.362
116,[null],4.345
117,[null],4.275
118,[null],4.251
119,[null],4.196
120,[null],4.029
121,[null],3.980
122,[null],3.919
123,[null],3.547
124,[null],3.515
125,[null],3.477
126,[null],3.472
127,[null],2.984
128,[null],2.917
129,[null],2.794
130,[null],2.780
131,[null],2.698
132,[null],2.634
133,[null],2.624
134,[null],2.411
135,[null],2.396
136,[null],2.368
137,[null],2.309
138,[null],2.185
139,[null],2.162
140,[null],2.139
141,[null],2.127
142,[null],2.108
143,[null],2.082
144,[null],2.055
145,[null],2.023
146,[null],1.752
147,[null],1.739
148,[null],1.712
149,[null],1.663
150,[null],1.643
151,[null],1.608
152,[null],1.518
153,[null],1.482
154,[null],1.399
155,[null],1.395
156,[null],1.353
157,[null],1.317
158,[null],1.305
159,[null],1.268
160,[null],1.157
161,[null],1.156
162,[null],1.147
163,[null],1.144
164,[null],1.129
165,[null],1.043
166,[null],1.014
167,[null],996
168,[null],903
169,[null],898
170,[null],836
171,[null],812
172,[null],760
173,[null],748
174,[null],740
175,[null],740
176,[null],725
177,[null],486
178,[null],390
179,[null],373
180,[null],330
181,[null],268
[added],[added],[added]
