Esperanto,IPA,Novial
A  a,[null],A  a
B  b,[null],B  b
C  c,[null],Ts  ts; S  s
Ĉ  ĉ,[null],Ch  ch; Sh  sh
D  d,[null],D  d
E  e,or,E  e
F  f,[null],F  f
G  g,[null],G  g
Ĝ  ĝ,[null],J  j
H  h,[null],H  h
Ĥ  ĥ,[null],K  k
I  i,[null],I  i
J  j,[null],Y  y
Ĵ  ĵ,[null],J  j
K  k,[null],K  k
L  l,[null],L  l
M  m,[null],M  m
N  n,[null],N  n
O  o,or,O  o
P  p,[null],P  p
Kv kv,[null],Qu  qu
R  r,[null],R  r
S  s,[null],S  s; Z  z
Ŝ  ŝ,[null],Sh  sh; Ch  ch
T  t,[null],T  t
U  u,[null],U  u
Ŭ  ŭ,[null],U  u (after a vowel)
V  v,[null],V  v; W  w
Ks  ks; kz,[null],X  x
Z  z,[null],Z  z; S  s
