Ido,IPA,Novial
A  a,[null],A  a
B  b,[null],B  b
C  c,[null],TS  ts
CH  ch;,[null],CH  ch
D  d,[null],D  d
E  e,or,E  e
F  f,[null],F  f
G  g,[null],G  g
Dj  dj,[null],J  j
H  h,[null],H  h
I  i,[null],I  i
J  j,[null],J  j
K  k,[null],K  k
L  l,[null],L  l
M  m,[null],M  m
N  n,[null],N  n
O  o,or,O  o
P  p,[null],P  p
QU  qu,or,QU  qu
R  r,[null],R  r
S  s,[null],S  s (also Z z)
SH  sh,[null],SH  sh
T  t,[null],T  t
U  u,[null],U  u
W  w,[null],W  w (before a vowel) U  u (after a vowel)
V  v,[null],V  v
X  x,or,X  x
Y  y,[null],Y  y
Z  z,[null],Z  z (also S  s)
