Application,Latest release date <br />and version,Developed by,Platforms,Mainly Used For,License
3ds Max,2019-03-27 <br />v 2020,Autodesk,Microsoft Windows,Modeling  Animation (Video Games and Movies)  FX Simulations  Lighting  Rendering,[null]
AC3D,2016-12-? <br />v 8,Inivis,Linux  Mac OS X  Microsoft Windows,Modeling,[null]
Alibre Design,2018-07-16 <br />v 2018,Alibre  LLC,Microsoft Windows,Computer Aided Design,[null]
AutoCAD,2019-03-28 <br />v 2020,Autodesk,Mac OS X  Microsoft Windows,2D Computer Aided Design  3D Modeling  Basic Rendering  Rudimentary Animation (of Camera  not objects),[null]
Blender,2019-12-05<br />v 2.81a,Blender Foundation,Microsoft Windows  Mac OS X  Linux  BSD  Solaris  AmigaOS 4  MorphOS,2D/3D toon Animation  Lighting  Modeling  Node based Material Creation / Texturing / 3D Texture Painting/ UV Mapping  Rendering (Internal  External  3D Anaglyph and VR)  3D Rigging and Animation  Sculpting  Visual 3D Effects  Basic Post-Production Video Editing  Motion Tracking  Python Scripting  Fluid Simulation  Particles  Physics  Compositing,<ref>http://www.blender.org/about/license/</ref>
Carrara,2013-08-26 <br />8.5.1.19,DAZ 3D,Microsoft Windows  Mac OS X,Animation  Modeling,[null]
Cheetah 3D,2017-12-07<br />v 7.1,Dr. Martin Wengenmayer,Mac OS X,Animation  Modeling  Rendering,[null]
Cinema 4D,2018-09-11<br />R20,MAXON,Mac OS X  Microsoft Windows  Amiga OS<ref>Cinema 4D</ref>,Animation  Lighting  Modeling  Visual 3D Effects  Rendering  Simulation,[null]
CityEngine,2018-09-18 <br />v 2018.1,Procedural,Mac OS X  Microsoft Windows  Linux,Procedural Modeling of 3D Cities,[null]
Clara.io,redesigned in 2015-03-31,Exocortex,Mozilla FireFox  Google Chrome  Microsoft Internet Explorer,Modeling  Animation  Rendering,[null]
Cobalt,?-?-?<br />v9 SP2r3,Ashlar-Vellum,Mac OS X  Microsoft Windows,Modeling  Computer Aided Design  Animation,[null]
DesignSpark Mechanical,2018-11-13<br />v4.0,SpaceClaim  RS Components,Microsoft Windows,Modeling  Computer Aided Design  Rapid Prototyping  3D Printing,[null]
Electric Image Animation System,2013-06 <br />v9.1.0,EIAS3D,Mac OS X  Microsoft Windows,Animation  Lighting  Rendering  Film  Television  Visual 3D Effects,[null]
form-Z pro/jr/free,2017-12-? <br />8.6 WIP,autodessys  Inc.,Mac OS X  Microsoft Windows,Animation  Modeling  Lighting  Render  Fabrication  Set Design,[null]
Hexagon,2011-08-16 <br />2.5.1.79,DAZ 3D,Microsoft Windows  Mac OS X,Subdivision Modeling  UV Mapping,[null]
HiCAD,2017-02-13<br />v HiCAD 2017,ISD Software und Systeme,Microsoft Windows,2D/3D Modeling  Computer Aided Design  Automatic drawing generation  BIM  Animation  HELiOS PDM integration  API scripting,[null]
Houdini,2019-03-13 <br />v 17.5,Side Effects Software,Microsoft Windows  Mac OS X  Linux,Animation  Lighting  Modeling  Visual 3D Effects,[null]
iClone,2017-12-21 <br />v 7.2.1220.1,Reallusion,Microsoft Windows,Animation  Film and Television Previz  Videogame Asset Creation  Lighting  Visual 3D Effects,[null]
Inventor,v 2018-11-30 <br />v 2019.0.2,Autodesk,Microsoft Windows,Modeling  Computer Aided Design  Rapid Prototyping  3D Printing,[null]
LightWave 3D,2019-08-07 <br />v 2019.1.2,NewTek,Mac OS X  Microsoft Windows  Amiga OS<ref>LightWave 3D</ref>,Modeling  Animation  Lighting  Rendering  Film and Television Previz  Videogame Asset Creation,[null]
MASSIVE,<br />v 3.5,Massive Software,Microsoft Windows  Linux,Artificial Intelligence in Models,[null]
Maya,2019-01-15 v 2019,Autodesk,Microsoft Windows  Mac OS X  Linux,Modeling  Animation (Video)  Lighting  Rendering  Visual 3D Effects,[null]
Metasequoia,2018-01-10<br />4.6.5,O. Mizno,Microsoft Windows,Modeling,[null]
MODO,2018-06-21<br />12.1,The Foundry,Mac OS X  Microsoft Windows  Linux,Modeling  Animation  Rendering,[null]
