Name,Windows,Mac OS X,Linux,Unix,BSD,Other
3ds Max,[null],[null],[null],[null],[null],[null]
AC3D,[null],[null],[null],[null],[null],[null]
Art of Illusion,[null],[null],[null],[null],[null],[null]
AutoCAD,[null],[null],[null],[null],[null],[null]
Blender,[null],[null],[null],[null],[null],[null]
Carrara,[null],[null],[null],[null],[null],[null]
Cheetah 3D,[null],[null],[null],[null],[null],[null]
Cinema 4D,[null],[null],[null],[null],[null],[null]
Clara.io,[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added]
DesignSpark Mechanical,[null],[null],[null],[null],[null],[null]
Electric Image Animation System,[null],[null],[null],[null],[null],[null]
form-Z,[null],[null],[null],[null],[null],[null]
HiCAD,[null],[null],[null],[null],[null],[null]
Houdini,[null],[null],[null],[null],[null],[null]
IClone,[null],[null],[null],[null],[null],[null]
LightWave 3D,[null],[null],[null],[null],[null],[null]
MakeHuman,[null],[null],[null],[null],[null],[null]
Massive,[null],[null],[null],[null],[null],[null]
Maya,[null],[null],[null],[null],[null],[null]
Metasequoia,[null],[null],[null],[null],[null],[null]
Modo,[null],[null],[null],[null],[null],[null]
POV-Ray,[null],[null],[null],[null],[null],[null]
Remo 3D,[null],[null],[null],[null],[null],[null]
Shade,[null],[null],[null],[null],[null],[null]
Silo,[null],[null],[null],[null],[null],[null]
SketchUp Make,[null],[null],[null],[null],[null],[null]
SketchUp Pro,[null],[null],[null],[null],[null],[null]
Softimage,[null],[null],[null],[null],[null],[null]
Solid Edge,[null],[null],[null],[null],[null],[null]
solidThinking,[null],[null],[null],[null],[null],[null]
solidWorks,[null],[null],[null],[null],[null],[null]
SpaceClaim,[null],[null],[null],[null],[null],[null]
trueSpace,[null],[null],[null],[null],[null],[null]
Verto Studio 3D,[null],[null],[null],[null],[null],[null]
E-on Vue,[null],[null],[null],[null],[null],[null]
Wings 3D,[null],[null],[null],[null],[null],[null]
ZBrush,[null],[null],[null],[null],[null],[null]
