Other software,Encryption,IPv6,Plugin  extendable,Hash algorithms,ADC support,Other
ADCCore,[null],[null],[null],Tiger tree hash,TIGR  ADCS,[null]
DCBouncer,[null],[null],[null],Tiger tree hash,Any clients  hubs,[null]
DC-Hublink,[null],[null],[null],Tiger tree hash,TIGR,[null]
DCWatch,[null],[null],Java  Lua,Tiger tree hash,TIGR  ADCS,[null]
Embla,[null],[null],[null],Tiger tree hash,TIGR,[null]
FlowLib,[null],[null],[null],Tiger tree hash,TIGR,[null]
NetChatLink,[null],[null],[null],Tiger tree hash,TIGR,[null]
Announcer Bot,[null],[null],[null],[null],ADCS  OSNR,only Luadch supports OSNR
Other software,Encryption,IPv6,Plugin  extendable,Hash algorithms,ADC support,Other
