UK,US
accelerator,gas [pedal]  accelerator
bonnet,hood<ref name="Baugh389">Baugh  Albert Croll and Cable  Thomas (1993) A History of the English Language (4th edition) Prentice-Hall  New York  page 389  </ref>
boot,trunk<ref name="Baugh389"/><ref name="Blunt">Blunt  Jerry (1994) "Special English Words with American Equivalents" Stage Dialects Dramatic Publishing Company  Woodstock  Illinois  page 59  ; originally published in 1967</ref>
mudguard  wheel arch  wing,fender<ref></ref>
hood  soft/hard top,convertible top  soft/hard top
car park,parking lot<ref name="Hargis63">Hargis  Toni Summers (2006) Rules  Britannia: An Insider's Guide to Life in the United Kingdom St. Martin's Press  New York  page 63  </ref>
driving licence,driver's license<ref></ref>
dual carriageway,divided highway<ref name="Baugh389"/>
estate car,station wagon<ref name="Hargis63"/>
flyover,overpass <ref name="Hargis63"/> flyover
gearbox,transmission<ref name="Baugh389"/>
hard shoulder,shoulder
hired car  hire car,rental car  rental
juggernaut  lorry,semi  semi-truck  18 wheeler  tractor-trailer<ref name="Hargis64">Hargis  Toni Summers (2006) Rules  Britannia: An Insider's Guide to Life in the United Kingdom St. Martin's Press  New York  page 64  </ref>
lorry,truck<ref name="Blunt"/>
articulated lorry,trailer truck  semi<ref name="Hargis63"/>
manual,stick shift  manual
[added],[added]
motorway,freeway <ref name="Hargis64"/> highway or expressway
pavement  footpath,sidewalk<ref name="Hargis64"/>
roadworks,construction zone  roadwork
petrol,gasoline or gas<ref name="Baugh389"/>
saloon,sedan<ref></ref>
shield,bumper
silencer,muffler<ref name="Baugh389"/>
spanner,wrench<ref name="Baugh389"/><ref name="Blunt"/>
ticking over,idling<ref name="Hargis64"/>
windscreen,windshield<ref name="Baugh389"/>
car valeting,auto detailing
