Date,Nation,Name,Asian First,World achievements
4 October 1957,<br />(now under ),Baikonur Cosmodrome,Satellite launch pad,The first satellite  Sputnik 1  was launched.
11 February 1970,[null],Ohsumi,Satellite,The smallest satellite launch vehicle (L-4S; 9.4t weight  1.4m diameter)
24 February 1975,[null],Taiyo,Solar probe,[null]
26 October 1975,[null],FSW-0,Satellite recovery<ref></ref>,[added]
26 October 1975,[null],FSW-0: <br /> – 10m (1975)<br /> FSW-1B: <br /> – 4m (1992)<ref>[http://sa.hit.edu.cn/htg/KP/gc_chn/gc_chn_kp_wx04.html Harbin Institute of Technology -> FSW satellite series (Note: the definition of high resolution (ground resolution) < 4.5m)] </ref><br />Beidou: <br /> – 0.5m (till 2007)<ref name="ifeng">[http://orig.news.ifeng.com/mil/2/200707/0718_340_158622.shtml Beidou navigation system first goes to public  with resolution 0.5m (from official Xinhua News Agency)  with photos] </ref>,High resolution imaging satellite,[null]
8 July 1976,[null],Palapa A1,Geosynchronous satellite (launched by NASA),[null]
23 February 1977,[null],N-I,Geosynchronous launch,[null]
14 July 1977,[null],GMS,Weather satellite (launched by NASA),-->
21 February 1979,[null],Hakucho,Space observatory,[null]
23 July 1980,[null],Phạm Tuân,Asian in space (Soyuz 37),[null]
20 September 1981,[null],FB-1,Simultaneous satellite launch<ref>中国首次“一箭三星”发射成功 (China's First One-Rocket-Three-Satellite Launch). Science and Technology Daily</ref>,[null]
8 January 1985,[null],Sakigake,Leaving Earth orbit,The first interplanetary launch by solid rocket (M-3SII)
19 March 1990,[null],Hagoromo,Reach lunar orbit (assumed),[null]
7 April 1990,[null],CZ-3,Commercial launch (AsiaSat 1),[null]
10 April 1993,[null],Hiten,Intentional lunar impact,The first aerobraking test<ref></ref>
8 July 1994,[null],Chiaki Mukai,Asian woman in space (STS-65),[null]
19 November 1997,[null],Takao Doi,Spacework (STS-87),[null]
28 November 1997,[null],ETS-VII,Rendezvous docking,[null]
3 July 1998,[null],Nozomi,Martian mission (Failure),[null]
30 October 2000,[null],Beidou,Satellite navigation system,[null]
10 September 2002,[null],Kodama<ref></ref>,Data relay satellite (with ESA),[null]
15 October 2003,[null],Yang Liwei,First man in space launched by an Asian space program,[null]
15 October 2003,[null],Shenzhou 5,Manned spacecraft,[null]
19 November 2005,[null],Hayabusa,Soft-landed probe on extraterrestrial object,The first asteroid ascent  sample return from an asteroid
11 January 2007,[null],FY-1C,ASAT test,Highest in history with altitude 865 km  also the fastest with speed 18k miles
23 February 2008,[null],WINDS,Internet satellite,The fastest internet satellite<ref></ref>
11 March 2008,[null],Japanese Experiment Module,Manned foundations in space (STS-123  STS-124  STS-127),The world's largest pressurized volume in space<ref></ref>
25 April 2008,[null],Tianlian I,Indigenous Tracking & Data Relay Satellite System <br />First TDRS system to support manned missions,[null]
27 September 2008,[null],Zhai Zhigang (Shenzhou 7),Indigenous EVA,[null]
27 September 2008,[null],BanXing,Manned spacecraft-launched satellite,[null]
14 November 2008,[null],Moon Impact Probe,Probe designed for Lunar impact,Discovered water on the Moon before impact.<ref name="Water found"></ref><ref></ref>
23 January 2009,[null],GOSAT,Greenhouse gas explorer<ref></ref>,[null]
20 May 2010,[null],Akatsuki,First Asian Venus mission,[null]
21 May 2010,[null],IKAROS,Solar sail,The first spacecraft to successfully demonstrate solar-sail technology in interplanetary space
25 August 2011,[null],Chang'e 2,Lunar probe with extended deep space missions (asteroid mission to 4179 Toutatis).,[null]
29 September 2011,[null],Tiangong-1,First Asian Space station,[null]
18 June 2012,[null],Shenzhou 9,First manned space docking by an Asian country (with Tiangong-1),[null]
14 December 2013,[null],Chang'e 3/Yutu,First lunar soft landing and lunar rover by an Asian country.,[null]
24 September 2014,[null],Mars Orbiter Mission,First successful Mars mission by an Asian country,First Martian mission by a country to succeed on the first attempt. Third country to do so after the USSR and the USA.
15 February 2017,[null],PSLV-C37,First to successfully launch and deploy 104 satellites simultaneously from a single rocket (PSLV -C37).<ref></ref><ref></ref>,First country in the world to launch more than 100 satellites at one go.
3 January 2019,[null],Chang'e 4,First soft landing on the far side of the Moon,First soft landing on the far side of the Moon by any country. Landed with Yutu-2 rover.
