Launch system,Country of origin,Class and type,Payload capacity,Maiden flight,Manufacturer,Status,Ref
LEO (Orbit),GTO,Other,[added],[added],[added],[added],[added]
Al-Abid,[null],Small lift expendable launch vehicle,to ( to,[null],[null],1989,Space Research Center  Baghdad
Augmented Satellite Launch Vehicle,[null],Small lift expendable launch vehicle,(),[null],[null],1987,ISRO
Epsilon,[null],Medium lift expendable launch vehicle,(x) (),[null],to (SSO),2013,JAXA
Feng Bao 1,[null],Medium lift expendable launch vehicle,[null],[null],[null],1972,Shanghai Bureau №2
Geosynchronous Satellite Launch Vehicle,GSLV Mk I,[null],Medium lift expendable launch vehicle,[null],[null],[null],2001
GSLV Mk II,[null],[null],[null],2010,ISRO,In service,[added]
Geosynchronous Satellite Launch Vehicle Mark III,[null],Medium lift expendable launch vehicle,[null],[null],[null],2014 (Suborbital) 2017 (Orbital),ISRO
GX,[null],Medium lift expendable launch vehicle,[null],[null],to SSO,[null],JAXA/ULA/IHI
H-I,[null],Medium lift expendable launch vehicle,[null],[null],[null],1986,Mitsubishi Heavy Industries
H-II,H-II,[null],Medium lift expendable launch vehicle,[null],[null],[null],1994
H-IIA,to,to,[null],2001,Mitsubishi Heavy Industries/ATK,In service,<ref></ref>
H-IIB,[null],[null],[null],2009,Mitsubishi Heavy Industries,In service,<ref></ref>
H3,[null],Medium lift expendable launch vehicle,[null],>,> to SSO (Minimum configuration),2020 (Planned),Mitsubishi Heavy Industries
J-I,[null],Experimental expendable launch vehicle,-,-,along downrange.,1996,NASDA/ISAS
Jielong-1,[null],Small lift expendable launch vehicle,[null],[null],to (SSO),2019,CALT
Kaituozhe,Kaituozhe-1,[null],Small lift expendable launch vehicle,[null],Not applicable,[null],2002
Kaituozhe-2,Small lift expendable launch vehicle,[null],[null],[null],2017,In service,<ref></ref>
Kaituozhe-2A,Medium lift expendable launch vehicle,[null],[null],[null],Unconfirmed,Unknown,[added]
Kuaizhou,Kuaizhou 1,[null],Small lift expendable launch vehicle,[null],[null],to (SSO),2013
Kuaizhou-1A,Small lift expendable launch vehicle,[null],[null],to (SSO) to (SSO),2017,In service,[added]
Kuaizhou-11,Small lift expendable launch vehicle,[null],[null],to (SSO),2019-20 (Planned),Under development,<ref></ref>
Kuaizhou-21,Heavy lift expendable launch vehicle,[null],[null],[null],2025 (Projected),Under development,<ref name=chinaspacereport/><ref name=chinadaily-20171225></ref>
Kuaizhou-31,Super heavy lift expendable launch vehicle,[null],[null],[null],TBD,Under development,[added]
Lambda (rocket family),[null],Small lift expendable launch vehicle,[null],[null],[null],1970,ISAS/Nissan
