Name,Developer,Software license,Latest stable software release,Operating system,Year (not dynamic  but easier for sorting)
ABC,various,[null],3.1 (<ref></ref>),Windows  Linux,2005
Acquisition,Acquisition,[null],[null],macOS,2010
BitComet,BitComet Development Group,, Adware,[null],Windows  macOS,2018
BitLet,various,[null],?,(Java runtime),2015
BitLord,House of Life,, Adware installs WhenU adware,[null],Windows  macOS,2017
BitTornado,John Hoffman,[null],[null],Windows  macOS  Linux  BSD,2006
BitTorrent,BitTorrent,, Adware,[null],Windows  macOS,2018
BitTyrant,University of Washington,[null],[null],Windows  macOS  Linux,2007
Blog Torrent,Downhill Battle,[null],[null],Windows  macOS,2005
Deluge,various,[null],[null],Windows  macOS  Linux  BSD,2019
FlashGet,Trend Media,[null],[null],Windows,2013
Folx,Eltima Software,, Setapp,[null],macOS,2018
Free Download Manager,alervd,[null],[null],Windows  macOS,2018
FrostWire,The FrostWire Project,[null],[null],Windows  macOS  Linux  Android,2019
KGet,KDE,[null],[null],Linux,2019
KTorrent,Joris Guisson  Ivan Vasić,[null],[null],Linux,2019
Lftp,Alexander V. Lukya,[null],[null],Linux,2018
LimeWire,Lime Wire LLC,[null],[null],Windows  macOS  Linux,2010
Meerkat Bittorrent Client,47 Software,[null],[null],Windows,2011
Miro,Participatory Culture Foundation,[null],[null],Windows  macOS  Linux,2013
MLDonkey,MLDonkey Project,[null],[null],Windows  macOS  Linux  MorphOs,2014
μTorrent,BitTorrent,, Adware,{{Latest stable software release/μTorrent}},Windows  macOS  Android,2018
OneSwarm,University of Washington,[null],[null],[null],2011
Opera 12,Opera Software,[null],Windows (Presto) – 12.17 <br />Linux  FreeBSD  macOS – 12.16,Windows  macOS  Linux,2016
qBittorrent,Christophe Dumez,[null],<ref></ref>,Windows  macOS  Linux  BSD,2019
rTorrent,Jari Sundell,[null],[null],Linux,2019
Robert,Sponge  co-developer of I2P,[null],[null],[null],2009
Shareaza,Shareaza Development Team,[null],[null],Windows,2017
SymTorrent,Imre Kelényi,[null],[null],Symbian,2012
Tixati,Kevin Hearn,[null],[null],Windows  Linux,2018
Tomato Torrent,Sarwat Khan,[null],1.5.1 (<ref></ref>),macOS,2007
Tonido,CodeLathe,[null],[null],Windows  macOS  Linux  BSD,2012
TorrentFlux,various,[null],[null],PHP Server,2008
Transmission,various,[null],[null],Windows  macOS  Linux  BSD,2018
Tribler,The Tribler Team,[null],[null],Windows  macOS  Linux  Android,2019
Vuze (formerly Azureus),Vuze,(platform)  GPL (core engine)  Adware,[null],Windows  macOS  Linux  Android,2017
Xunlei,Thunder Networking Technologies,[null],[null],Windows  macOS  Android  iOS,2017
Name,Developer,Software license,Latest stable software release,[null],Year
