BitTorrent client,Magnet URI,Preload Magnet metadata <ref name="preload_magnet_metadata" group=Note>For a torrent added from a Magnet link  obtain the list of files (and other metadata) before prompting the user for a download location.</ref>,Super-seeding,Embedded tracker,UPnP <ref name="upnp" group="Note">Automatically configure port forwarding (requires Router with UPnP support)</ref>,NAT Port Mapping Protocol,NAT traversal <ref name="udp_nat" group="Note">Many clients claim to support this  but just UPnP calls for opening a TCP port is not effective and disabled by factory default in most new hardware. "UDP NAT Traversal" is the proper working solution  supported by just a few.</ref>,DHT <ref name="dht" group="Note">DHT permits use of trackerless torrents (with supporting clients) to resume normal torrents when their tracker is down. However  some trackers that register their users for keeping tabs on fair usage (such as a ratio of bytes downloaded to uploaded) may not reliably measure and update usage for users employing DHT.</ref>,Peer exchange,Encryption,UDP tracker,LPD,Proxy server
ABC,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Acquisition,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitComet,[null],[null],[null],Separate download,[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitLet,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitLord,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitTornado,[null],[null],[null],<ref name="linuxtracker" group=Note>Tracker included with Linux binaries and with source  but not with Windows binary.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitTorrent 5  Mainline,[null],[null],[null],<ref name="linuxtracker" group=Note />,[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitTorrent 6,[null],[null],[null],[null],[null],[null],[null],[null],<ref name="exchange" group=Note>Exchanging with BT 6 and μTorrent clients (and now MooPolice).</ref>,[null],[null],[null],[null]
BitTyrant,[null],[null],[null],[null],[null],[null],<ref group=Note>It's UDP based  an experimental feature and only supported by other Azureus based clients.</ref>,<ref name="dht_not_compatible" group=Note>Has its own DHT  a mainline-DHT compatible implementation is available as plugin.</ref>,[null],[null],[null],[null],[null]
Blog Torrent,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Deluge,[null],<ref group=Note>This is done manually. Right click an item and select "Force Re-Check". This will trigger preload. Note  if deluge is restarted before preload finishes  it will continue downloading torrent content.</ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
FlashGet,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Free Download Manager,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
KTorrent,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
LimeWire,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Meerkat Bittorrent Client,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
MLDonkey,<ref></ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
μTorrent,[null],<ref></ref>,<ref></ref>,<ref></ref>,<ref></ref>,[null],<ref name="μTorrent 2.0 beta"></ref>,<ref group=Note>μTorrent's DHT implementation is the same as Mainline and BitComet's  but unfortunately this is incompatible with Azureus's implementation.</ref>,<ref name="exchange" group=Note />,<ref></ref>,[null],<ref></ref>,[null]
OneSwarm,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Opera 12,[null],[null],[null],<ref name=opera1></ref>,[null],[null],[null],[null],<ref name=opera2></ref>,[null],[null],[null],[null]
qBittorrent,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
rTorrent,<ref>Aided with a shell script documented in </ref>,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],<ref name=ticket></ref>,[null]
Shareaza,[null],[null],[null],[null],[null],[null],[null],<ref group=Note>Since Shareaza v2.6.0.0  Shareaza includes Mainline DHT support. Also  Shareaza can use the Gnutella2 network to find other Gnutella2 clients sharing the same torrent. This also includes clients who do not actively seed the torrent in question anymore  as long as file hashes (such as sha1 for example) are known.</ref>,[null],[null],<ref group=Note>Since Shareaza v2.5.5.1 r9064.</ref>,[null],[null]
SymTorrent,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tixati,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tomato Torrent,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Tonido,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
TorrentFlux,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Transmission,[null],Patch available<ref>unofficial build transmission daemon cygwin </ref><ref>unofficial build Transmission-Qt </ref><ref>unofficial build cfpp2p GitHub transmission </ref>,[null],[null],[null],[null],[null],[null],<ref group=Note>Exchanges with μTorrent and Azureus peers.</ref>,[null],[null],[null],<ref>Proxy support was removed in version 2.12: </ref>
Tribler,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Vuze (formerly Azureus),[null],[null],[null],[null],[null],[null],<ref group=Note>Since version 2.5.0.2. It's UDP based  an experimental feature and only supported by other Azureus clients.</ref>,<ref name="dht_not_compatible" group=Note />,[null],[null],[null],[null],[null]
Xunlei,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
BitTorrent client,Magnet URI,Preload Magnet metadata,Super-seeding,Embedded tracker,UPnP,NAT Port Mapping Protocol,NAT traversal,DHT,Peer exchange,Encryption,UDP tracker,LPD,Proxy server
