Arrays and Collections,Java,C#
Abstract data types,[null],[added]
One-dimensional  zero-based index arrays,[null],[added]
Multidimensional arrays  rectangular (single array),[null],[added]
Multidimensional arrays  jagged (arrays of arrays),[null],[added]
Non-zero based arrays,[null],[added]
Unified arrays and collections,[null],[added]
Maps/dictionaries,[null],[added]
Sorted dictionaries,[null],<ref></ref>
Sets,[null],[added]
Sorted sets,[null],<ref></ref>
Lists/vectors,[null],[added]
Queues/stacks,[null],[added]
Priority queue,[null],<ref></ref><ref></ref>
Bags/multisets,[null],[added]
Concurrency optimized collections,[null],<ref></ref>
