Client name,Platform,License,WebDAV ACL editor,Discovery of other user’s collections,ICalendar events,ICalendar tasks,ICalendar journals,ICalendar VAVAILABILITY (RFC 7953),CalDAV Scheduling,CardDAV,vCard Synchronization,User interface,Online store,.well-known URLs,[http://www.calconnect.org/pubdocs/CD0903%20Freebusy%20Read%20URL.pdf FBURL],[[SRV record|<span title='RFC 6764 “Locating Services for Calendaring Extensions to WebDAV (CalDAV) and vCard Extensions to WebDAV (CardDAV)”'>DNS SRV]],handles home-sets
AgenDAV<ref>AgenDAV project home</ref>,Cross-platform JavaScript Web browser,[null],limited,[null],[null],[null],[null],[null],Does not arrange meetings with participants,[null],out of scope,AgenDAV's fullcalendar.io,[null],The used server is fixed in the configuration file,Does not arrange meetings with participants,the caldav-server settings need to be fixed in AgenDAV's configuration file,[null]
Cadaver<ref></ref>,Command-line,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
aCal<ref></ref>,Android,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],aCal,[null],[null],[null],[null],[null]
AndroidCaldavSyncAdapater<ref></ref>,Android,[null],[null],[null],[null],[null],[null],[null],[null],[null],out of scope,Android,[null],[null],Out of scope,[null],[null]
CalDavZAP<ref>CalDavZAP</ref>,Cross-platform JavaScript Web browser,[null],[null],[null],[null],[null],[null],[null],Does not arrange meetings with participants,[null],out of scope,CalDavZAP,[null],The used server is fixed in the configuration file,Does not arrange meetings with participants,The used server is fixed in the configuration file,[null]
CardDavMATE<ref>CardDavMATE</ref>,Cross-platform JavaScript Web browser,[null],[null],[null],out of scope,out of scope,out of scope,out of scope,out of scope,vCard 3.0 only,[null],CardDavMATE,[null],The used server is fixed in the configuration file,Out of scope,The used server is fixed in the configuration file,[null]
InfCloud (CalDavZAP+CardDavMATE)<ref>InfCloud (integrated version of CalDavZAP and CardDavMATE)</ref>,Cross-platform JavaScript Web browser,[null],[null],[null],[null],[null],[null],[null],Does not arrange meetings with participants,vCard 3.0 only,[null],InfCloud,[null],The used server is fixed in the configuration file,Does not arrange meetings with participants,The used server is fixed in the configuration file,[null]
Chandler Desktop<ref>Chandler Project </ref>,Cross-platform Python,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DAVx⁵<ref>DAVx⁵ website</ref>,Android,[null],[null],[null],[null],[null],out of scope,out of scope,(except attendees/invitations),[null],(server always wins),Android  OpenTasks,[null],[null],out of scope,[null],[null]
jqCalDAV<ref>jqCalDAV project home</ref>,Cross-platform JavaScript Web browser,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
KCardDAV<ref>KCardDAV project home</ref> (discontinued),Cross-platform Kontact add-on,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
KOrganizer  KAddressBook  Kontact,Unix-KDE,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],KOrganizer,[null],[null],[null],[null],[null]
Lightning<ref>Lightning - Project Home</ref>,Cross-platform Thunderbird Add-on,[null],[null],[null],[null],[null],[null],[null],[null],[null],Out of scope,Lightning,[null],[null],[null],[null],probably not
CardBook<ref>CardBook source</ref>,Cross-platform Thunderbird Add-on,[null],[null],[null],Out of scope,Out of scope,Out of scope,Out of scope,Out of scope,vCard 3.0 and vCard 4.0,[null],CardBook,Mozilla Add-ons (ATN),[null],Out of scope,[null],partial
MineTime<ref>MineTime features</ref>,Cross-platform,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],MineTime,minetime.ai,[null],[null],[null]
Mulberry<ref>Mulberry client configuration</ref>,Cross-platform,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Outlook CalDav Synchronizer<ref>Outlook CalDav Synchronizer website</ref>,Windows,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Outlook,[null],[null],[null],[null],[null]
pyCardDAV<ref>pyCardDAV project home</ref>,Cross-platform Python,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
The Bat!<ref>The Bat! - Features</ref>,Windows,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],The Bat!,[null],[null],[null],[null],[null]
Inverse SOGo Connector-Integrator<ref>SOGo Overview</ref>,Cross-platform Thunderbird Add-on,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Mozilla,[null],[null],[null],[null],[null]
Evolution,Cross-platform,[null],[null],[null],[null],[null],[null],[null],[null],vCard 3.0 only,[null],Evolution,[null],[null],if the URL does not require authentication,[null],[null]
ReminderFox<ref>ReminderFox project home</ref>,Cross-platform Firefox,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],ReminderFox,[null],[null],[null],[null],[null]
