Server name,License,Programming language,RFC 2616 HTTP/1.1,RFC 2617 HTTP,RFC 2518 WebDAV,RFC 3253 WebDAV,RFC 3744 WebDAV ACL,RFC 4324 iCal,RFC 4331 WebDAV quota,RFC 4709 WebDAV mount,RFC 4791 CalDAV,RFC 4918 WebDAV,RFC 5397 WebDAV current principal,RFC 5545 iCal (Availability Check),RFC 5546 iCal (Group Scheduling),RFC 5689 WebDAV MKCOL,RFC 5995 WebDAV POST add member,RFC 6352 CardDAV vCard,RFC 6578 WebDAV,RFC 6638 CalDAV (Auto-Schedule),RFC 7529 iCal,RFC 7540 HTTP/2,RFC 7809 CalDAV time zones by,RFC 7953 iCal,[http://www.calconnect.org/pubdocs/CD0903%20Freebusy%20Read%20URL.pdf Free-busy URL]
Baïkal<ref></ref><ref>Baïkal iCal export</ref>,[null],PHP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Bedework<ref>Bedework overview</ref>,[null],Java,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Calendar and Contacts Server<ref></ref>,[null],Python,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Calypso<ref>Calypso</ref>,[null],Python,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Cyrus IMAP<ref>Cyrus IMAP Features</ref>,[null],C,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DAViCal<ref>DAViCal RFC Compliance</ref>,[null],PHP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
DavMail<ref>DavMail project home</ref>,[null],Java,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Fennel<ref>Fennel on GitHub</ref>,[null],JavaScript,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Group-Office<ref>Group-Office website</ref>,[null],PHP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Horde Groupware,[null],PHP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Nextcloud<ref>Nextcloud home</ref>,[null],PHP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Open Xchange,, CC,Java  JavaScript,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
ownCloud<ref>ownCloud home</ref>,[null],PHP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Radicale<ref></ref>,[null],Python,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
SabreDAV<ref>SabreDAV Supported RFC's</ref>,[null],PHP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Xandikos<ref>Xandikos</ref>,[null],Python,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Zarafa,[null],PHP,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Read only,[null],[null],[null],[null],[null],[null],[null]
Zentyal<ref>Zentyal Community Edition official Site</ref>,[null],Perl,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
Zimbra,[null],Java,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],[null]
