Server,Authoritative,Recursive,Recursion ACL,Slave mode,Caching,DNSSEC,TSIG,IPv6,Wildcard,Free Software,Interface,split horizon
BIG-IP DNS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],API  command line,[null]
BIND,[null],[null],[null],[null],[null],[null],[null],(since 9.x),(since 4.x),[null],Web  command line,[null]
PowerDNS,[null],[null],[null],[null],[null],(since 3.0),(since 3.0),[null],[null],[null],REST  Web  command line,[null]
djbdns,[null],[null],[null],[null],[null],[null],[null],via generic records. http://www.fefe.de/dns/,[null],[null],command line and web (VegaDNS & NicTool),[null]
dbndns,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],command line and web,[null]
pdnsd,[null],[null],[null],[null],[null],<ref> "no support for the DNSSEC protocol itself yet in pdnsd"</ref>,[null],[null],[null],[null],command line  pdnsd-ctl program,[null]
MaraDNS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],command line,[null]
Posadis,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],command line  API,[null]
Unbound,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],command line  API,[null]
Dnsmasq,[null],[null],[null],[null],[null],(since 2.69),[null],[null],[null],[null],command line,[null]
NSD,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],command line,[null]
Knot DNS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],command line,[null]
Knot Resolver,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],command line and web,[null]
YADIFA,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],command line,[null]
Microsoft DNS,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],GUI  command line  API  WMI  RPC,[null]
Simple DNS Plus,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],GUI  Web  command line,[null]
Secure64 DNS Authority,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Command Line or Web GUI,[null]
Secure64 DNS Cache,[null],[null],[null],[null],[null],[null],[null],[null],[null],[null],Command Line or Web GUI,[null]
Server,Authoritative,Recursive,Recursion ACL,Slave mode,Caching,DNSSEC,TSIG,IPv6,Wildcard,Free Software,Interface,split horizon
