Server,Creator,Cost (USD),Public source code,Software license
BIND,Internet Systems Consortium,Free,[null],BSD  MPL 2.0 for 9.11+
Microsoft DNS,Microsoft,Included with Windows Server,[null],Clickwrap license
djbdns,Daniel J. Bernstein,Free,[null],Public domain
Dnsmasq,Simon Kelley,Free,[null],GPL
Simple DNS Plus,JH Software,$79 – $379,[null],Clickwrap license
NSD,NLnet Labs,Free,[null],BSD variant
Knot DNS,CZ.NIC,Free,[null],GPL
Knot Resolver,CZ.NIC,Free,[null],GPL
PowerDNS,PowerDNS.COM BV / Bert Hubert,Free,[null],GPL
MaraDNS,Sam Trenholme,Free,[null],BSD variant
pdnsd,Thomas Moestl and Paul Rombouts,Free,[null],GPL
Posadis,Meilof Veeningen,Free,[null],GPL
Unbound,NLnet Labs,Free,[null],BSD
YADIFA,EURid,Free,[null],BSD
Secure64 DNS Authority,Secure64,Unpublished price,[null],Clickwrap license
Secure64 DNS Cache,Secure64,Unpublished price,[null],Clickwrap license
