Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB<ref name="ubuntuforums" />
AbsoluteTelnet,Celestial Software,1996,9.49,Proprietary,[null]
Beyond Compare,Scooter Software,1996,4.3.3,Proprietary,[null]
Commander One,Eltima Software,2015,1.1,Proprietary,[null]
CrossFTP Pro,CrossFTP Software,2006,1.98.7,Proprietary,[null]
CuteFTP,Alex Kunadze/Globalscape,1994,9.3.0 (Windows) / 3.1.3 (Mac),Proprietary,[null]
Directory Opus,GPSoftware,1990,11.10,Proprietary,[null]
FlashFXP,OpenSight Software  LLC,1999,5.4.0.3970,Proprietary,[null]
FTP Client,Vicomsoft,1997,5.0.1,Proprietary,[null]
SmartFTP,SmartSoft Ltd,1998,6.0.2155.0,Proprietary,[null]
Total Commander,Christian Ghisler,1993,9.21a,Proprietary,[null]
WebDrive,South River Technologies  Inc.,1998,2017,Proprietary,[null]
WS_FTP,Ipswitch  Inc.,1996,12.7,Proprietary,[null]
Yummy FTP,Yummy Software,2004,1.9.0,Proprietary  Setapp,[null]
