+Comparison of early HTML editors,Program,Author or Based On,Version,System,HTML Compliant,Display,Forms,Tables,Integrated Browser,Cost
asWedit,Andrzej Stochniol,1.1,Unix,HTML 3,source,[null],[null],[null],freeware,[added]
HoTMetaL,SoftQuad,1.0+,Unix Windows,HTML 1,WYSIWYG,[null],[null],[null],freeware,[added]
HoTMetaL pro,SoftQuad,1,Unix  Windows  Macintosh,HTML 2,WYSIWYG,[null],[null],[null],commercial,[added]
Live Markup,MediaTech,16b4a,Windows,HTML 2,WYSIWYG,[null],[null],[null],commercial,[added]
Symposia,GRIF,0.8,Unix,HTML 2,WYSIWYG,[null],[null],[null],beta,[added]
Tkhtml,Liem Bahenmann,2.3,Unix,[null],source,[null],[null],[null],freeware,[added]
Phoenix,University of Chicago,0.1.7,Unix,[null],WYSIWYG,[null],[null],[null],freeware,[added]
WebPages,DART Software,1.7,NextStep,HTML 1,WYSIWYG,[null],[null],[null],commercial,[added]
WebMagic,SiliconGraphics,1,Irix,HTML 2,WYSIWYG,[null],[null],[null],commercial,[added]
Webtor,Jochen Schales,.91prealpha2,Macintosh,HTML2,WYSIWYG,[null],[null],[null],freeware,[added]
