Parser,License,Implementation language(s),Latest date*,HTML parsing<ref>12.2 Parsing HTML documents — HTML Standard </ref>,HTML5-compliant parsing,Clean HTML**,Update HTML***
Lambda Soup,BSD-2-Clause,OCaml,2016-12-10<ref>Lambda Soup 0.6.1</ref>,[null],[null],[null],[null]
html.parser,Python S. F. L.,Python,2016-06-27<ref>Python 3.5.2</ref>,[null],[null],[null],[null]
Html Agility Pack,MIT License,C#,2019-07-07<ref>Nuget Html AgilityPack</ref>,[null],[null],[null],[null]
HTML Monkey,Microsoft Public License,C#,2018-12-14,[null],[null],[null],[null]
Beautiful Soup,Python S. F. L.,Python,2019-01-07<ref>Beautiful Soup 4.7.1</ref>,[null],<ref>via html5lib</ref>,[null],[null]
Gumbo,Apache License 2.0,C,2015-05-01,[null],[null],[null],[null]
html5ever,Apache License 2.0,Rust,2016-02-23,[null],[null],[null],[null]
html5lib,MIT License,Python (and PHP  six years ago),2016-07-15<ref>Releases · html5lib/html5lib-python</ref>,[null],[null],[null],[null]
HTML::Parser,Perl license,Perl,2013-03-28,[null],<ref>Bug #53300 for HTML-Parser: HTML 5</ref>,[null],[null]
WebGear,GPL3,Perl,2017-03-10,[null],[null],[null],[null]
htmlPurifier,GNU Lesser GPL,PHP,2019-07-14<ref>HTML Purifier</ref>,[null],[null],[null],[null]
HTML Tidy,W3C license,ANSI C,2017-03-01<ref>HTML Tidy release 5.4.0</ref>,<ref name="what_is_tidy">What is Tidy?</ref>,[null],<ref name="what_is_tidy"/>,[null]
HtmlUnit,Apache License 2.0,Java,2019-08-24<ref>HtmlUnit Release 2.36.0</ref>,[null],[null],[null],[null]
HtmlCleaner,BSD License<ref>HtmlCleaner is distributed under BSD License</ref>,Java,2015-08-24,[null],[null],[null],[null]
Hubbub,MIT License,C,2016-02-16,[null],<ref>according to project's home page</ref>,[null],[null]
Jaunt API,Jaunt Beta License,Java,2013-08-01,[null],[null],[null],[null]
Jericho HTML Parser,Eclipse Public License,Java,2015-10-24<ref>Jericho HTML Parser - Browse /jericho-html/3.4 at SourceForge.net</ref>,[null],[null],[null],[null]
jsdom,MIT license,JavaScript,2018-08-19,[null],[null],[null],[null]
jsoup,MIT license,Java,2019-05-12<ref>jsoup release 1.12.1</ref>,[null],<ref>https://jsoup.org/ Per project homepage</ref>,[null],[null]
JTidy,JTidy License,Java,2012-10-09<ref>JTidy - Browse /JTidy at SourceForge.net</ref>,[null],[null],[null],[null]
libxml2 HTMLparser,MIT License,C,2017-11-02<ref>libxml2 Releases</ref>,[null],[null],[null],[null]
NekoHTML,Apache License 2.0,Java,2014-06-02<ref>NekoHTML | Change History</ref>,[null],[null],[null],[null]
TagSoup,Apache License 2.0,Java,2011-07-07,[null],[null],[null],[null]
Validator.nu HTML Parser,MIT License,Java,2012-06-05,[null],[null],[null],[null]
PHP Simple HTML DOM Parser,MIT License,PHP,2014-08-28,[null],[null],[null],[null]
The PHP DOMDocument-class,PHP License,PHP,2014-10-04,[null],[null],[null],[null]
Nokogiri,MIT License,Ruby,2016-10-03<ref>Nokogiri release 1.6.8.1</ref>,[null],[null],[null],[null]
AVHTML,AGPL,C++,2015-08-27<ref>Latest commit 8c0d99f on 27 Aug 2015</ref>,[null],[null],[null],[null]
BrilliantHTML5Parser,Apache License 2.0,Swift 3,2016-11-10,[null],[null],[null],[null]
MyHTML,LGPL,C,2018-09-06,[null],[null],[null],[null]
Aspose.HTML,Proprietary,C#,2018-06-06,[null],[null],[null],[null]
Lexbor (HTML module),Apache License 2.0,C,2019-11-18,[null],[null],[null],[null]
tooska,LGPL,C++,2019-06-29,[null],[null],[null],[null]
Parser,License,Implementation language(s),Latest date*,HTML Parsing,HTML5-compliant Parsing,Clean HTML**,Update HTML***
