Flag,Country,IOC,FIFA,ISO
[null],British Honduras,HBR 1972,BHO,[null]
[null],Burma,BIR 1988,BUR 1989,BUR 1989
[null],Ceylon,CEY 1972,CEY 1972,[null]
[null],Dahomey,DAH 1972,DAH 1975,DHY 1977
[null],Czechoslovakia,TCH 1992,TCH 1993,CSK 1993
[null],East Germany,GDR 1988,DDR 1989,DDR 1989
[null],Khmer Republic,KHM 1976,? 1975,[null]
[null],Malaya,MAL 1960,? 1963,[null]
[null],Netherlands Antilles,AHO 2011,ANT 2011,ANT 2010
[null],North Borneo,NBO 1956,NBO 1963,[null]
[null],North Yemen,YAR 1988,NYE 1990,YEM 1990
[null],Northern Rhodesia,NRH 1964,NRH 1964,[null]
[null],Rhodesia,RHO 1972,RHO 1980,RHO 1980
[null],Serbia and Montenegro,SCG 2006,SCG 2006,SCG 2006
[null],South Yemen,YMD 1988,SYE 1990,YMD 1990
[null],Soviet Union,URS 1988,URS 1991,SUN 1992
[null],Upper Volta,VOL 1984,UPV 1984,HVO 1984
[null],Viet-Nam  Democratic Republic of,[null],VNO 1975,VDR 1977
[null],Viet Nam  Republic of,VNM 1976,VSO 1975,VNM 1977
[null],West Germany,FRG 1988,FRG 1989,DEU 1989
[null],Yugoslavia  Federal Republic of,YUG 2002,YUG 2003,YUG 2003
[null],Yugoslavia  Socialist Federal Republic of,YUG 1992,YUG 1992,YUG 1992
[null],Zaire,ZAI 1996,ZAI 1997,ZAR 1997
