IRC daemon,Channel types,Halfop support (+h %),Admin/protect support (+a/+u &/!/*),Founder/owner support (+q ~/.),Operator prefixing<ref name="prefix">Operator prefixing: The ability for network staff (not channel ops  but ircd opers) to be denoted in a channel with a special prefix.</ref>,Advanced operator ACL,Operator "levels"<ref name="levels">Operator "levels": protect "higher" opers from being killed and/or z  k  or g-lined by "lower" opers</ref>,vHost via I-line (or equivalent),i18n nicknames<ref>"Features: nickchars". Vulnscan.org.</ref>,RDBMS integration (SQL)
Bahamut,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
bIRCd,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Charybdis,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ConferenceRoom,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
FoxEye ircd,# & ! +,[null],[null],[null],[null],[null],[null],[null],[null],[null]
InspIRCd,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
IRCD,# & ! +,[null],[null],[null],[null],[null],[null],[null],[null],[null]
IRCD-Hybrid,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ircd-ratbox,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ircu,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ithildin,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
miniircd,+ # & !,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Nefarious IRCu,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ngIRCd,# & +,<ref name="ngircd-commit">"Handle channel user modes 'a'  'h'  and 'q' from remote servers". GitHub.</ref>,[null],[null],[null],[null],[null],[null],[null],[null]
OfficeIRC Server,# %# & %&,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Oragono,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
PleXusIRCd,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
pureIRCd,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
RockIRCd,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
RubIRCd,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ShadowIRCd,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
snircd,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
solid-ircd,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Synchronet IRCd,# &,[null],[null],[null],[null],[null],[null],[null],[null],[null]
UnrealIRCd,#,[null],[null],[null],[null],[null],[null],[null],iso8859-1/2/7/8-I/9/16  windows-1250/1251  Multibyte,[null]
WeIRCd,#,[null],[null],[null],[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
