IRC daemon,Connect-flood detection,Channel flood controls basic / advanced,Join throttling,Spamfilter regexp / glob,Channel censor IRCd config / chanop-controlled,Variable per-channel banlist size,Timed bans,DNSBL,CGI:IRC/WEBIRC host spoofing
Bahamut,[null],[null],[null],[null],[null],[null],[null],[null],[null]
bIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Charybdis,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ConferenceRoom,[null],[null],[null],[null],[null],[null],[null],[null],[null]
InspIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
IRCD,[null],[null],[null],[null],[null],[null],[null],[null],[null]
IRCD-Hybrid,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ircd-ratbox,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ircu,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ithildin,Module,[null],[null],[null],[null],[null],[null],[null],[null]
miniircd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Nefarious IRCu,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ngIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
OfficeIRC Server,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Oragono,[null],[null],[null],[null],[null],[null],[null],[null],[null]
PleXusIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
pureIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
RockIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
RubIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
ShadowIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
solid-ircd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
Synchronet IRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
UnrealIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
WeIRCd,[null],[null],[null],[null],[null],[null],[null],[null],[null]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
