Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
Alpine Linux,Alpine Linux Team,Alpine Linux Team,[null],3.10<ref></ref>,[null],[null],[null],LEAF Project,security  lightweight  general,[null],[null]
ALT Linux,ALT Linux Team,ALT Linux Team  ALT Linux LLC,[null],8.2<ref></ref>,[null],[null],[null],Mandrake Linux,general  school,[null],[null]
antiX,Anticapitalista,Anticapitalista,[null],17.4.1<ref></ref>,[null],[null],[null],Debian  MEPIS,old computers,[null],[null]
ArchBang,Willensky Aristide,Stan McLaren,2011,Rolling,Rolling,[null],[null],Arch Linux (UKM Edition),general,[null],[null]
Arch Linux,Judd Vinet,dev team,[null],Rolling,Rolling,Rolling,[null],Independent  inspired from CRUX,general,[null],[null]
BLAG,Brixton Linux Action Group,Brixton Linux Action Group,[null],140k,[null],[null],[null],Fedora,desktop,[null],[null]
Bodhi Linux,Bodhi Linux Team,Bodhi Linux Team,[null],5.0.0<ref></ref>,[null],[null],[null],Debian  Ubuntu,desktop  lightweight,[null],[null]
Canaima,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,[null],6.0<ref></ref>,[null],[null],[null],Debian  Ubuntu,Government of Venezuela,[null],[null]
CentOS,CentOS Project,CentOS Project,[null],8.0-1905,10 years<ref></ref>,[null],[null],Red Hat Enterprise Linux (RHEL),server  workstation,[null],[null]
Chakra,Jan Mette and Arch Linux KDEmod developers,The Chakra Project Team,[null],Rolling,Rolling,[null],[null],Arch Linux<ref></ref>,desktop,[null],[null]
Chrome OS,Sundar Pichai,Google,2009,75.0.3770.129<ref></ref>,6.5 years<ref></ref>,2019-07-09,[null],Chromium OS,web applications,[null],[null]
ClearOS,Peter Baldwin,ClearFoundation,[null],7.6.0<ref></ref>,[null],[null],[null],RHEL  CentOS,server  gateway  network,[null],[null]
CrunchBang Linux,Philip Newborough,Philip Newborough,[null],11<ref></ref>,[null],[null],[null],Debian,desktop,[null],[null]
Damn Small Linux,John Andrews,dev team,[null],4.4.10<ref></ref>,[null],[null],[null],Debian  Knoppix,lightweight  portable,[null],[null]
Debian,Ian Murdock,Debian Project,[null],10.2<ref></ref>,~3 years<ref name="DebianSupportPeriod" group="g" />,[null],(main is 100% free  non-free packages are optional)<ref></ref>,Softlanding Linux System (SLS)<ref></ref>,general  server  desktop,[null],[null]
Debian Edu,[null],Debian Project,[null],9.0+edu0<ref></ref>,~3 years<ref name="DebianSupportPeriod" group="g"/>,[null],[null],Debian,schools,[null],[null]
Devuan,The "Veteran Unix Admins" (VUA),The "Veteran Unix Admins" (VUA),[null],2.0.0<ref></ref>,[null],[null],<ref>Default ISOs included non-free software</ref>,Debian,general,[null],[null]
Deepin,Wuhan Deepin Technology Co.  Ltd.,Wuhan Deepin Technology Co.  Ltd.,[null],15.10.2<ref></ref>,[null],[null],[null],Debian(current)  Ubuntu  Morphix(formerly),general,[null],[null]
Dragora GNU/Linux-Libre,Matias A. Fonzo,Matias A. Fonzo,[null],3.0-alpha2<ref></ref>,[null],[null],[null],Independent  inspired from Slackware,general,[null],[null]
dyne:bolic,Jaromil,Jaromilx,[null],3.0.0,[null],[null],[null],Debian,multimedia,[null],[null]
Elementary OS,Daniel Foré,elementary LLC,[null],5.0<ref></ref>,[null],[null],[null],Ubuntu  Debian,general,[null],[null]
ELinOS,SYSGO,SYSGO,[null],6.2<ref></ref>,[null],[null],[null],–,embedded systems,[null],[null]
Emdebian Grip,Embedded Debian Project,Embedded Debian Project,[null],3.1,End-of-life,[null],[null],Debian,embedded systems,[null],[null]
EndeavourOS,Bryan Poerwoatmodjo,EndeavourOS,[null],Rolling,Rolling,2019-07-15,[null],Arch Linux,general,[null],[null]
Fedora,Fedora Project,Fedora Project,[null],31<ref></ref>,1 year,[null],<ref></ref>,Red Hat Linux,general,[null],[null]
Freespire,Lindows.com  Inc.,PC/OpenSystems LLC,[null],4.8<ref></ref>,[null],[null],[null],Ubuntu,desktop,[null],[null]
Gentoo Linux,Daniel Robbins,Gentoo Foundation  Inc.,[null],Rolling,Rolling,Rolling,[null],Enoch Linux,general,[null],[null]
Guix,Ludovic Courtès,Ludovic Courtès  Ricardo Wurmus  the Guix community,[null],1.0.1<ref></ref>,Rolling,[null],[null],–,general,[null],[null]
gNewSense,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the FSF,[null],4.0 (Ucclia)<ref name="gns_release"></ref>,[null],[null],[null],Debian,general  server,[null],[null]
gnuLinEx,Regional Government of Extremadura,dev team,[null],LinEx 2013,[null],[null],[null],Debian,desktop,[null],[null]
Grml,Michael Prokop,The Grml Team,[null],2018.12<ref></ref>,[null],[null],[null],Debian,live  maintenance  security  network  forensic  accessibility,[null],[null]
Hyperbola GNU/Linux-libre,Hyperbola Founders,Hyperbola Founders,[null],0.3<ref></ref>,3 years (stable)  5 years (old stable)<ref></ref>,[null],[null],Arch Linux,general,[null],[null]
Instant WebKiosk,Marco Buratto,Binary Emotions,[null],16.0<ref></ref>,[null],[null],[null],Debian,web kiosks  digital signage  personal web navigation,[null],[null]
Kali Linux,Max Moser  Mati Aharoni  Martin J. Muench,Offensive Security,[null],2019.2<ref></ref>,[null],[null],[null],Debian,auditing  forensic  security  network,[null],[null]
Knoppix,Klaus Knopper,dev team,[null],8.6<ref></ref>,[null],[null],[null],Debian,live,[null],[null]
Kodibuntu,The XBMC Project,Team Kodi,[null],[null],[null],[null],[null],Debian  Ubuntu,multimedia,[null],[null]
Korora,Chris Smart,Dev Team,[null],26<ref></ref>,[null],[null],[null],Fedora,desktop,[null],[null]
LibreCMC,LibreCMC team,LibreCMC team,[null],1.4.8<ref></ref>,[null],[null],[null],Merged from LibreWRT,embedded systems,[null],[null]
Linspire,Linspire  Inc.,Linspire  Inc.,[null],7.0 SP1<ref>Linspire - The easiest Desktop Linux: Linspire 7.0 Service Pack 1 released</ref>,[null],[null],[null],Ubuntu,[null],<ref></ref>,[null]
Linux Mint,Clement Lefebvre,dev team,[null],19.3<ref></ref>,~3 years (LMDE); 5 years (main editions),[null],[null],Debian(LMDE)  Ubuntu (LTS versions),desktop,[null],[null]
Linux Lite,Jerry Bezencon,Linux Lite Team,2012,4.4<ref></ref>,[null],2018-11-01,[null],Ubuntu,desktop,[null],[null]
Mageia,Mageia Community,mageia.org,[null],7.1<ref></ref>,1 year,[null],[null],Mandriva Linux,general,[null],[null]
Mandriva Linux,Mandrakesoft S.A.,Mandriva S.A.,[null],2011,[null],[null],[null],Red Hat Linux,general,[null],[null]
Manjaro Linux,Roland Singer,dev team,<ref></ref>,Rolling,Rolling,Rolling,[null],Arch Linux,general,[null],[null]
MEPIS,Warren Woodford,MEPIS LLC,[null],11.9.90,[null],[null],[null],Debian,desktop  server,[null],[null]
Musix GNU+Linux,Musix team,Musix team,[null],3.0.1,[null],[null],[null],Debian,multimedia,[null],[null]
Netrunner,Blue Systems,dev team,[null],2018.08<ref></ref>,as per Debian Testing or Manjaro (rolling),[null],[null],Debian  Manjaro/Arch,desktop,[null],[null]
NixOS,Eelco Dolstra and Armijn Hemel,NixOS Foundation,[null],19.03,0.5 years,[null],[null],–,general  server  desktop,[null],[null]
Novell Open Enterprise Server,Novell,Novell  Inc. dev team,[null],OES 2018 SP1,[null],[null],[null],SUSE Linux Enterprise Server,server,<ref></ref>,[null]
OpenELEC,Stephan Raue  OpenELEC Team,OpenELEC Team,[null],8.0.4,[null],[null],[null],Kodi,multimedia,[null],[null]
openSUSE,SUSE Linux  Novell,openSUSE Project,[null],Leap 15.1<ref></ref>,3 years<ref></ref>,[null],[null],–,general  desktop,[null],[null]
OpenWrt,[null],OpenWrt team,[null],18.06.4<ref></ref>,[null],[null],[null],–,embedded systems,[null],[null]
