Distribution,Default Linux kernel,Default file system,Default init system,Install-time desktop environment or window manager selection,Reproducible builds
Alpine Linux,[null],ext4,openrc,none,[null]
ALT Linux,[null],ext3,systemd,KDE Plasma Workspaces  Xfce,[null]
Arch Linux,<ref name="common-distros"></ref>,none<ref></ref>,systemd,none,[null]
BLAG,[null],ext3,sysvinit,GNOME,[null]
Bodhi Linux,[null],ext4,systemd,Moksha (Enlightenment fork),[null]
Canaima,<ref name="common-distros" />,[null],systemd,Cinnamon and MATE,[null]
CentOS,<ref name="common-distros" />,xfs,systemd,GNOME,[null]
Chakra,[null],ext4,systemd,KDE Plasma Workspaces,[null]
ClearOS,[null],ext3,systemd,none (Web based),[null]
CoreOS,[null],ext4,systemd,None,[null]
CrunchBang Linux,[null],ext4,sysvinit,Openbox,[null]
Damn Small Linux,[null],ext3,sysvinit,JWM,[null]
Debian,<ref name="common-distros" /> Built with Linux-libre tools.<ref name="debian-linux" />,ext4,systemd,GNOME  KDE  Xfce  LXDE<ref name=cdimage.debian.org></ref>,<ref>ReproducibleBuilds - Debian</ref><ref>Toward a fully reproducible Debian</ref>
Devuan,[null],ext4,sysvinit,Xfce,[null]
Dragora GNU/Linux-Libre,[null],ext4,runit,Xfce,[null]
dyne:bolic,[null],[null],systemd,GNOME,[null]
Fedora,[null],ext4,systemd,GNOME (default Workstation Edition)  Spins for: KDE Plasma Workspaces  Xfce  LXDE  MATE (with Compiz)  Cinnamon  Sugar on a Stick,<ref>Reproducible Builds for Fedora</ref>
Funtoo,[null],none,openrc,None,[null]
Gentoo,[null],none,openrc,Awesome  Enlightenment  Fluxbox  GNOME  KDE  LXDE-Meta  Openbox  XBMC and Xfce (live DVD)<ref></ref>,[null]
gNewSense,<ref name="debian-linux"></ref>,ext3,sysvinit,GNOME,[null]
gnuLinEx,[null],ext2,[null],GNOME,[null]
Guix,[null],btrfs  ext4,GNU Shepherd,GNOME  Xfce  Mate  Enlightenment  i3  ratpoison  xmonad,<ref>Reproducible builds: a status update</ref>
Hyperbola GNU/Linux-libre,[null],none,openrc<ref></ref>,[null],[null]
Instant WebKiosk,[null],SquashFS,systemd,Has no DE. It's a browser-only interface,[null]
Kali Linux,[null],ext3,systemd,GNOME,[null]
Knoppix,[null],xfs,microknoppix,LXDE,[null]
LibreCMC<ref></ref>,[null],ext4,busybox-init,none,[null]
Linux Mint<ref></ref>,<ref name="common-distros" />,ext4,systemd,MATE  Cinnamon  KDE 4  XFCE,[null]
Mageia,[null],ext4,systemd,KDE Plasma Workspaces  GNOME,[null]
Mandriva Linux,[null],ext4,systemd,KDE Plasma Workspaces,[null]
Manjaro Linux,[null],none<ref></ref>,systemd,Xfce  KDE  GNOME <ref></ref>,[null]
MEPIS,[null],ext3  ext4,sysvinit,KDE Plasma Workspaces,[null]
Musix GNU+Linux<ref></ref>,[null],ext4,initscripts,LXDE,[null]
OpenELEC,[null],SquashFS,shell script,XBMC Media Center,[null]
openSUSE,[null],btrfs,systemd,KDE Plasma Workspaces  GNOME  Xfce,<ref>openSUSE:Reproducible Builds</ref>
OpenWrt,[null],overlayfs+SquashFS/JFFS2<ref></ref>,procd<ref></ref>,none,[null]
Parabola GNU/Linux-libre,[null],none,openrc or systemd,none,[null]
Pardus,[null],ext4,systemd,KDE Plasma Workspaces,[null]
Parsix,[null],ext4,systemd,GNOME,[null]
PCLinuxOS,[null],none,sysvinit,KDE Plasma Workspaces  GNOME  LXDE  Xfce  Enlightenment  Openbox,[null]
Pentoo,[null],SquashFS,openrc,Enlightenment,[null]
Porteus,[null],Squashfs  ext2  ext3  ext4  FAT32  reiser  xfs,sysvinit,KDE  LXDE  Xfce  Openbox  Razor-qt,[null]
Puppy Linux,[null],SquashFS containing ext2,busybox-init,JWM,[null]
Red Hat Enterprise Linux,[null],xfs,systemd,GNOME,[null]
Rxart Desktop,[null],ext3,[null],KDE Plasma Workspaces,[null]
Sabayon Linux,[null],ext4<ref></ref>,systemd,KDE Plasma Workspaces  GNOME,[null]
Scientific Linux,[null],ext4,sysvinit  systemd<ref>Prior to v7.0  Scientific Linux used sysvinit. Since v7.0  it uses systemd. </ref>,GNOME,[null]
Slackware,<ref name="common-distros" />,ext4,sysvinit compatible BSD init scripts,KDE Plasma Workspaces  Xfce  Fluxbox  Blackbox  twm,[null]
Slax,[null],SquashFS,sysvinit,KDE Plasma Workspaces,[null]
SliTaz GNU/Linux,[null],ext3,busybox-init,Openbox,[null]
Solus,[null],ext4,systemd,Budgie  Gnome  MATE,[null]
Source Mage GNU/Linux,[null],ext2,simpleinit-msb,none,[null]
SteamOS,[null],[null],systemd,[null],[null]
SUSE Linux Enterprise Desktop,<ref name="common-distros" />,btrfs<ref></ref>,systemd,GNOME,[null]
Tails,<ref name="common-distros" />,[null],systemd,GNOME,[null]
Tor-ramdisk,[null],ext2,[null],none,[null]
Trisquel,[null],ext4  xfs,systemd,GNOME  LXDE,[null]
TurnKey GNU/Linux,[null],ext4,systemd,none - headless server by design; provides Webmin for administration,[null]
Ubuntu/Edubuntu,<ref name="common-distros" />,ext4<ref name="10.10 release"></ref>,systemd,Unity,[null]
Ubuntu GNOME,[null],ext4,systemd,GNOME 3,[null]
Ubuntu MATE,[null],ext4,systemd,MATE,[null]
Kubuntu,[null],ext4<ref name="10.10 release" />,systemd,KDE Plasma Workspaces,[null]
Xubuntu,[null],ext4<ref name="10.10 release" />,systemd,Xfce,[null]
Lubuntu,[null],ext4,systemd,LXQt,[null]
Ututo,</ref> Ututo UL (development) uses Linux-libre. Ututo UL means "Ubuntu-Libre"}},ext3,systemd,GNOME,[null]
VectorLinux,[null],ReiserFS,sysvinit,KDE  Openbox  Fluxbox  IceWM  Xfce,[null]
Void Linux,[null],none,runit,none,[null]
Webconverger,[null],gitfs,sysvinit,dwm enforcing a Browser-only interface,[null]
XBMC Live,[null],ext3,systemd,XBMC Media Center,[null]
Zentyal,[null],ext4,systemd,LXDE,[null]
Zenwalk,[null],ext4,sysvinit,Xfce,[null]
Distribution,Default Linux kernel,Default file system,Default init system,Install-time desktop environment or window manager selection,Reproducible builds
