Distribution,Compile time buffer checks,Mandatory access control,Software executable space protection,grsecurity,RSBAC
Alpine Linux,<ref></ref>,[null],[null],[null],[null]
BLAG,[null],[null],[null],[null],[null]
Debian/Ubuntu,[null],[null],optional,[null],[null]
Dragora GNU/Linux-Libre,[null],[null],[null],[null],[null]
dyne:bolic,[null],[null],[null],[null],[null]
Fedora,[null],<ref></ref>,<ref></ref>,[null],[null]
Gentoo,[null],[null],optional,[null],[null]
gNewSense,[null],[null],[null],[null],[null]
Guix System Distribution,[null],[null],[null],[null],[null]
LibreCMC,[null],[null],[null],[null],[null]
Mandriva,[null],[null],[null],[null],[null]
Musix GNU+Linux,[null],[null],[null],[null],[null]
Parabola GNU/Linux-libre,[null],</ref>}},[null],[null],[null]
Slackware,[null],[null],[null],[null],[null]
SUSE Linux,[null],<ref></ref>,<ref></ref>,[null],[null]
Solus,[null],[null],[null],[null],[null]
Tor-ramdisk,[null],[null],[null],[null],[null]
Trisquel,[null],[null],[null],[null],[null]
Ututo,[null],[null],[null],[null],[null]
