Model,USB,Gigabit Ethernet,AirPort Extreme,Bluetooth,Video interface,SD&nbsp;card slot,Keyboard and mouse,iSight/Facetime Camera,Remote IR&nbsp;receiver
Mac mini<ref name="ministore"/>,[null],[null],[null],[null],HDMI and Thunderbolt 2,[null],[null],[null],[null]
iMac 21.5 in<ref name="imacstore"/>,[null],[null],[null],[null],Thunderbolt 3,[null],[null],[null],[null]
iMac 21.5 in Retina Display<ref name="imacstore"/>,[null],[null],[null],[null],Thunderbolt 3,[null],[null],[null],[null]
iMac 27 in<ref name="imacstore"/>,[null],[null],[null],[null],Thunderbolt 3,[null],[null],[null],[null]
Mac Pro Quad-Core<ref name="macprostore"/>,[null],[null],[null],[null],HDMI and Thunderbolt 2,[null],[null],[null],[null]
Mac Pro 6-Core<ref name="macprostore"/>,[null],[null],[null],[null],HDMI and Thunderbolt 2,[null],[null],[null],[null]
MacBook Air<ref name="macbookair" />,[null],[null],[null],[null],Thunderbolt 2,[null],[null],[null],[null]
MacBook Pro 13 in 2.0 GHz<ref name="macbookpro" />,[null],[null],[null],[null],Thunderbolt 3,[null],[null],[null],[null]
MacBook Pro 13 in 2.9 GHz<ref name="macbookpro" />,[null],[null],[null],[null],Thunderbolt 3,[null],[null],[null],[null]
MacBook Pro 15 in 2.6 GHz<ref name="macbookpro" />,[null],[null],[null],[null],Thunderbolt 3,[null],[null],[null],[null]
MacBook Pro 15 in 2.7 GHz<ref name="macbookpro" />,[null],[null],[null],[null],Thunderbolt 3,[null],[null],[null],[null]
MacBook Pro 13 in 2.7 GHz<ref name="macbookpro" />,[null],[null],[null],[null],HDMI and Thunderbolt 2,[null],[null],[null],[null]
MacBook Pro 15 in 2.2 GHz<ref name="macbookpro" />,[null],[null],[null],[null],HDMI and Thunderbolt 2,[null],[null],[null],[null]
