[null],FAT12,FAT16,FAT32,HPFS,ISO 9660,NTFS,exFAT,UDF,ReFS
Windows NT 3.1  3.5  3.51,[null],[null],[null],[null],[null],v1.0/v1.1,[null],[null],[null]
Windows NT 4.0,[null],[null],[null],[null],[null],v1.2,[null],[null],[null]
Windows 2000,[null],[null],[null],[null],[null],v3.0,[null],[null],[null]
Windows XP,[null],[null],[null],[null],[null],v3.1,[null],(2.01),[null]
Windows Server 2003,[null],[null],[null],[null],[null],v3.1,[null],[null],[null]
Windows Vista,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
Windows Server 2008,[null],[null],[null],[null],[null],v5,[null],[null],[null]
Windows 7,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
Windows Server 2008 R2,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
Windows Server 2012,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
Windows 8,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
Windows 8.1,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
Windows Server 2012 R2,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
Windows 10,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
Windows Server 2016,[null],[null],[null],[null],[null],v5,[null],(2.6),[null]
