Operating system,Limit on IA-32,Limit on x64
[null],4 GB,[added]
[null],4 GB,[added]
[null],8 GB,[added]
[null],32 GB,[added]
[null],[null],[added]
[null],4 GB,[added]
[null],4 GB,128 GB
[null],2 GB,[added]
[null],4 GB,[added]
[null],64 GB,[added]
[null],4 GB,32 GB
[null],64 GB,[added]
[null],1 GB,[added]
[null],4 GB,8 GB
[null],4 GB,16 GB
[null],4 GB,128 GB
[null],4 GB,[added]
[null],4 GB,32 GB
[null],[null],128 GB
[null],64 GB,[added]
[null],2 GB,[added]
[null],4 GB,8 GB
[null],4 GB,16 GB
[null],4 GB,192 GB
[null],[null],8 GB
[null],[null],32 GB
[null],[null],128 GB
[null],[null],[added]
[null],4 GB,128 GB
[null],4 GB,512 GB
[null],[null],32 GB
[null],[null],64 GB
[null],[null],[added]
[null],[null],[added]
[null],[null],32 GB
[null],[null],[added]
[null],4 GB,[added]
[null],4 GB,128 GB
[null],4 GB,[added]
[null],4 GB,[added]
[null],4 GB,[added]
[null],[null],[added]
[null],[null],[added]
