Name,Vendor,License,Transactional,Under active development
Archive,Oracle,GPL,[null],[added]
Aria,MariaDB,GPL,[null],[added]
Berkeley DB,Oracle,AGPLv3,[null],[added]
BlitzDB,[null],GPL,[null],[added]
CONNECT,MariaDB,GPL,[null],[added]
CSV,Oracle,GPL,[null],[added]
DeepSQL,Deep Information Sciences,Custom Proprietary,[null],[added]
Falcon,Oracle,GPL,[null],[added]
InfiniDB,Calpont,GPL,[null],[added]
InnoDB,Oracle,GPL,[null],[added]
MyISAM,Oracle,GPL,[null],[added]
NDB,Oracle,GPLv2,[null],[added]
TokuDB,TokuTek,Modified GPL,[null],[added]
WiredTiger,WiredTiger,GPL,[null],[added]
XtraDB,Percona,GPL,[null],[added]
Federated,Oracle,GPL,[null],[added]
FederatedX,MariaDB,GPL,[null],[added]
CassandraSE,MariaDB,GPL,[null],[added]
sequence,MariaDB,GPL,[null],[added]
mroonga,MariaDB,GPL,[null],[added]
SphinxSE,Sphinx Technologies,GPL,[null],[added]
MyRocks,Facebook,GPLv2,[null],[added]
MyMax,CEICOM Solutions,Custom Proprietary,[null],[added]
