OLAP server,Issue Tracking System,Forum/Blog,Roadmap,Source code
Apache Kylin,Jira,[41],[null],Open
Druid,Druid – Github Issues,[42],[null],Open
Apache Pinot (Incubating),Jira,[43],[null],Open
Essbase,myOracle Support,[6],[7],Closed
IBM Cognos TM1,IBM Service Request,[8],[null],Closed
icCube,YouTrack,[9],[null],Closed
Infor BI OLAP Server,Infor Xtreme,[null],Available upon request,Closed
Jedox OLAP Server,Mantis,[10],Available upon request,Open
Kyligence,Zendesk,[44],[null],Closed
Kyvos,Zendesk,[null],Available upon request,Open
Microsoft Analysis Services,Connect,[11],-,Closed
MicroStrategy Intelligence Server,MicroStrategy Resource Center,[12],-,Closed
Mondrian OLAP server,Jira,[13],[14],Open
Oracle Database OLAP Option,myOracle Support,[15],[null],Closed
SAP NetWeaver BW,OSS,[16],[17],Closed
SAS OLAP Server,Support,[18],[null],Closed
