[null],Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
AbiWord,2.6.0 <ref>AbiWord v2.6.0 Released</ref> 2.6.5<ref>AbiWord v2.6.5 Changelog</ref>,Windows  Mac OS X  Linux  Unix,[null],AbiSource,[null],[null],[null],[null]
Adobe Buzzword,beta 3  build 600113<ref name="adobe_buzzword"></ref>,Web application,Standalone,Adobe Systems,[null],[null],[null],Limited support
Atlantis Word Processor,1.6.3+<ref></ref>,Windows,Standalone,Rising Sun Solutions,[null],[null],[null],[null]
Butler Office Pro X,2.2.0<ref name="butleroffice"></ref>,Mac OS X,Butler Office Pro X,Butler Software Solutions,[null],[null],[null],Full support via email
DataViz Word To Go,11.000<ref name="dataviz"></ref>,Palm OS  Windows Mobile  Symbian (UIQ  S80),Documents To Go,DataViz,[null],[null],[null],[null]
EIOffice Word Processor,2009  5.0.1272.101<ref name="eioffice"></ref>,Windows  Linux,EIOffice,Evermore Software,[null],[null],[null],Import only<ref name="eioffice" />
Go-oo Writer,3.0.0<ref name="go-oo"></ref>,Windows  Linux  Unix  Mac OS X,Go-oo,Free software community,[null],[null],[null],Import only Go-oo discontinued in favour of LibreOffice
Google Docs,(current)<ref name="neowin.net"></ref>,Web application,Google Docs,Google,[null],[null],[null],[null]
IBM Lotus Symphony,1.3<ref name="symphony"></ref>,Windows  Mac OS X  Linux,IBM Lotus Symphony,IBM,[null],[null],[null],Import only
Ichitaro,2008<ref></ref>,Windows  Linux,Standalone,JustSystems,[null],[null],[null],[null]
Jarte,3.0+<ref name="jarte-news">Jarte 3.0 - import docx support</ref><ref></ref>,Windows,Standalone,Carolina Road Software,[null],[null],[null],Import only<ref name="jarte">Jarte - supported file formats</ref><ref>Requires Microsoft's free Office Compatibility Pack </ref>
Kingsoft Office Writer,2009<ref name="kingsoft"></ref> 6.3.0.1733,Windows,Kingsoft Office,Kingsoft,[null],[null],[null],Import only beta support
LibreOffice,All versions,Windows  OS X  Linux  Unix  Android,[null],The Document Foundation,[null],[null],[null],[null]
Microsoft Office OneNote,2007,Windows,Microsoft Office,Microsoft,[null],[null],[null],Export only
Microsoft Office Publisher,2013,Windows,Microsoft Office,Microsoft,[null],[null],[null],[null]
Microsoft Office Word,2013 <br />2011 for Mac,Windows  Mac OS X,Microsoft Office,Microsoft,[null],[null],[null],[null]
Microsoft Office Mobile Word Mobile,6.1<ref name="msofice_mobile"></ref>,Windows Mobile,Microsoft Office Mobile,Microsoft,[null],[null],[null],[null]
Microsoft Works Word Processor,9<ref name="msworks"></ref>,Windows,Microsoft Works,Microsoft,[null],[null],[null],[null]
NeoOffice Writer,2.2.1<ref name="neooffice"></ref>,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,[null],[null],[null],[null]
Nisus Writer Pro,1.2<ref></ref>,Mac OS X v10.4 or later,Standalone,Nisus Software  Inc.,[null],[null],[null],[null]
ONLYOFFICE,website=www.onlyoffice.com|language=en-US|access-date=2018-05-08}}</ref>,Web Application,ONLYOFFICE,Ascensio System SIA,Proprietary  AGPL,[null],[null],[null]
OpenOffice Writer,3.0,Windows  Linux  Unix  Mac OS X,OpenOffice.org,Apache OpenOffice,[null],[null],[null],Import only
OpenXML Writer,1.0<ref name="openxml_writer"></ref>,Windows,Standalone,OpenXML.biz,[null],[null],[null],[null]
Pages,'08<ref></ref>,Mac OS X,iWork,Apple Inc.,[null],[null],[null],[null]
StarOffice Writer,9<ref name="staroffice"></ref>,Windows  Linux  Solaris,StarOffice,Sun Microsystems,[null],[null],[null],Import only<ref name="staroffice-ooxml">http://www.sun.com/software/staroffice/docs/StarOffice9_WhatsNew.pdfStarOffice can only import Office Open XML</ref>
TextEdit,starting with<br />Mac OS X v10.5<ref></ref>,Mac OS X,Standalone,Apple Inc.,[null],[null],[null],Bundled with Mac OS X  which yields limited support
TextMaker,2010,Windows  Linux  Windows Mobile  Windows CE  Android,SoftMaker Office,SoftMaker Software GmbH,[null],[null],[null],[null]
Thinkfree Office Write,<ref name="thinkfree"></ref>,Windows  Mac OS X  Linux,Thinkfree Office,ThinkFree Corp,[null],[null],[null],[null]
WordPerfect,X4 (2008)<ref name="wordperfect_office"></ref>,Windows,Corel WordPerfect Office X4,Corel,[null],[null],[null],Import only
Zoho Writer,(current),Web application,Zoho Office Suite,AdventNet Inc.,[null],[null],[null],[null]
[null],Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
