[null],Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
AbiWord,2.4.2,Windows  Mac OS X  Linux  Unix-based systems,[null],AbiSource,GPL,[null],Only supports basic ODT documents. Complex ones created in OpenOffice are likely to be broken in AbiWord.
Calligra Words,2.4+,Windows  Mac OS X  Linux  Unix-based systems,Calligra Suite,KDE Project,GPL / LGPL,[null],[added]
Google Docs & Spreadsheets,2006,Any (Web-based),Standalone or Google Apps,Google,Proprietary,[null],[null]
IBM Lotus Symphony,1.0+,Windows  Linux  Mac OS X,IBM Lotus Symphony,IBM,Proprietary,[null],Based upon OpenOffice.org.
IBM Workplace Documents,2.5+,Any (Web-based),IBM Workplace Collaboration Services,IBM,Proprietary,[null],no longer being actively marketed
KWord,1.4+,Linux  Unix-based systems,KOffice,KDE Project,LGPL,[null],[added]
LibreOffice Writer,4.0.3,Windows  Linux  Unix-based systems  Mac OS X  Solaris,LibreOffice,LibreOffice,LGPL,[null],Multiple ODF versions supported (ISO/ODF 1.0/1.1/1.2/1.2 Extended )
Microsoft Office Word,2007 SP2,Windows,Microsoft Office,Microsoft,Proprietary,[null],some limitations<ref></ref>
NeoOffice Writer,2.1,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,[null],[null]
OpenOffice.org Writer,3.0.0,Windows  Linux  Unix-based systems  Mac OS X  Solaris,OpenOffice.org,OpenOffice.org,LGPL,[null],adjustable ODF version (ISO/ODF 1.2)
OpenOffice.org Writer,2.4.1,Windows  Linux  Unix-based systems  Mac OS X  Solaris,OpenOffice.org,OpenOffice.org,LGPL,[null],[null]
OpenOffice.org Writer,1.1.5,Windows  Linux  Unix-based systems  Mac OS X,OpenOffice.org,OpenOffice.org,LGPL / SISSL,[null],Import only
StarOffice Writer,8,Windows  Linux  Solaris,StarOffice,Sun Microsystems,Proprietary,[null],[null]
TextMaker,2006 and higher,Windows  Linux  FreeBSD  Pocket PC  Windows CE,SoftMaker Office,SoftMaker,Proprietary,[null],TextMaker 2006 - not valid files; TextMaker 2010 - valid
TextEdit,1.5 and higher,Mac OS X,Standalone,Apple Inc.,Bundled with Mac OS X/Source code available,[null],[null]
WordPerfect,X4 (2008),Windows,Corel WordPerfect Office X4,Corel,Proprietary,[null],Import only
Zoho Writer,2006,Any (Web-based),Standalone,AdventNet,Proprietary,[null],[null]
[null],Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
