Name,Developer,Status,First release,Latest release,Current version,Based on,License,Source available
AbsoluteTelnet,Celestial Software (Brian Pence),[null],1996,2016-10-12,10.16<ref>https://www.celestialsoftware.net/absolutetelnet-ssh-client/absolutetelnet/ssh-version-history-9.53.html</ref>,[null],[null],[null]
ConnectBot,Kenny Root / Jeffrey Sharkey,[null],2007-11,2018-11-09,1.9.2 <ref>https://connectbot.org/</ref>,Trilead SSH-2 for Java,[null],[null]
CRAX Commander,Soft4U2 Marcin Słowik,[null],2013-09,2015-12-01,1.10.6,libSSH2,[null],[null]
Dropbear,Matt Johnston,[null],2003-04-06,2017-05-18,2017.75,[null],[null],[null]
eSSH Client,Ecode Software,[null],2002-07,[null],[null],[null],[null],[null]
lsh,Niels Möller,[null],1999-05-23,2013-06-26,2.1,[null],[null],[null]
OpenSSH (OpenBSD Secure Shell),The OpenBSD project,[null],1999-12-01,2019-10-09,8.1,ossh,[null],[null]
PuTTY,Simon Tatham,[null],1999-01-22,2019-03-16,0.73<ref></ref>,[null],[null],[null]
SecureCRT,VanDyke Software,[null],1998-06,2018-11-15,8.5.2<ref></ref>,[null],[null],[null]
SSH Tectia Client/ConnectSecure,SSH Communications Security (former Tectia),[null],1995-07,2017-06-22,6.4.15,Own implementation in C,[null],[null]
SSH Secure Shell Client,SSH Communications Security Corp.,[null],2000,2003,3.2.9<ref>https://sils.unc.edu/it-services/servers/using-ssh</ref>,[null],[null],[null]
Tera Term,TeraTerm Project,[null],2004,2018-08-31,4.100<ref></ref>,Tera Term Pro 2.3 (1994–1998),[null],[null]
TN3270 Plus,SDI USA  Inc.,[null],2006,[null],[null],[null],[null],[null]
TtyEmulator,FCS Software,[null],2002-05,[null],[null],[null],[null],[null]
ZOC Terminal,EmTec  Innovative Software,[null],1995-07-01,2020-01-09,7.25.1<ref></ref>,[null],[null],[null]
