English,Irish,Scottish Gaelic,Notes
Gael,[null],[null],Pre 1950s Gaedheal in Irish
Scotland,, Albain,[null],[null]
Ireland,[null], ,[null]
day,[null],[null],[null]
night,[null],[null],Pre 1950s in Irish
inside,[null],[null],[null]
school,[null],[null],Pre 1950s in Irish
child,[null],[null],[null]
without,[null],[null],[null]
authority,[null],[null],Pre 1950s in Irish
office,[null],[null],[null]
star,[null],[null],Pre 1950s in Irish
hotel,[null],<ref name="sqa"/>,Pre 1950s in Irish
house,(nom-acc)  (dat); Munster,[null],In biblical Gaelic tigh
[added],[added],[added],[added]
town,[null],[null],[null]
news,; Ulster,[null],[null]
open,[null],[null],Also foscail in Ulster Irish
year,[null],[null],Pre-1950s in Irish. The form ( today) is used as a special plural form following numerals; the regular plural is blianta). Some eastern Scottish Gaelic dialects use the form <ref>http://doug5181.wixsite.com/sgdsmaps/page12</ref>.
radio,[null],[null],Also and in spoken Irish and Scottish Gaelic
report,[null],[null],[null]
king,[null],[null],Pre-1950s genitive and dative in Irish
government,[null],[null],Pre-1950s in Irish
parliament,[null],[null],[null]
island,, inis,, inis,[null]
river,,<BR>Munster   dative,[null],[null]
bridge,[null],[null],[null]
water,[null],[null],[null]
whisk(e)y,[null],[null],[null]
God,[null],[null],[null]
church,[null],[null],In Irish  is a Roman Catholic house of worship; a Protestant house of worship is called a (temple). As Gaeilge 'séipéal' is also used as it can mean chapel as well.
prayer,[null],[null],Also in Irish.
black,[null],[null],[null]
white,[null],[null],[null]
