+ Properties of TeX editors 1,[null],Editing style<ref name="editStyle" group=Note>"Source" means you see and edit the TeX source files. "WYSIWYM" = What You See Is What You Mean  i.e. you see and edit formatted text. WYSIWYG means that see the output file automatically updated during the edit. Note that some PDF viewers (e.g. evince) automatically reload the PDF document when it is updated on the disk. So  any "source" TeX editor can be turned into partial WYSIWYG editor by opening such a reader in an adjacent window.</ref>,Native operating systems,Latest stable version,Costs,License,Configurable,Integrated viewer,[null]
AUCTeX,Source,Linux  macOS  Windows,(2017-12-10) 12.1,[null],[null],[null],[null],AUCTeX,[added]
Authorea,Source / partial-WYSIWYG,Online,[null],[null],[null],[null],[null],Authorea,[added]
Auto-Latex Equations for Google Docs,Source<ref group="Note">Not a full TeX editor. Only limited to math expressions only.</ref>,Online,(2016-01-06) 8.04,[null],Unclear,[null],[null],Auto-Latex Equations for Google Docs,[added]
CoCalc,Source,Online,[null],[null],[null],[null],[null],CoCalc,[added]
GNOME LaTeX,Source,Linux,(2019-03-10) 3.32,[null],[null],[null],[null],GNOME LaTeX,[added]
Gummi,Source,Linux,(2016-01-27) 0.6.6,[null],[null],[null],(Live update),Gummi,[added]
Kile,Source,Linux (macOS  Windows)<ref group=Note>Support for non-linux systems considered experimental.</ref>,(2012-09-23) 2.1.3,[null],[null],[null],(Quick preview),Kile,[added]
LEd,Source,Windows,(2009-10-09) 0.53,[null],[null],?,(dvi),LEd,[added]
LyX,WYSIWYM,Linux  macOS  Windows,(2019-06-25) 2.3.3,[null],[null],[null],[null],LyX,[added]
MeWa,Source,Windows,(2007-06-06) 1.4.0,[null],[null],[null],[null],MeWa,[added]
Notepad++,Source,Windows,(2019-10-29) 7.8.1,[null],[null],[null],, but can be integrated <ref group=Note>Notepad++ can execute Tex viewers</ref>,Notepad++,[added]
Overleaf,Source,Online,[null],[null],Unclear,[null],[null],Overleaf,[added]
Scientific WorkPlace,WYSIWYM,Windows,(2016-02-23) 6.0.12,[null],[null],[null],[null],Scientific WorkPlace,[added]
ShareLaTeX<ref group="Note">Acquired by Overleaf and launched as Overleaf v2.</ref>,Source,Online,[null],[null],[null],[null],[null],ShareLaTeX,[added]
TexLab,Source-WYSIWYG,Windows,(2019-04-30) 7.8,[null],[null],[null],[null],TexLab,[added]
TeXmacs,WYSIWYG,Linux  macOS  Windows,(2017-12-21) 1.99.6,[null],[null],[null],[null],TeXmacs,[added]
Texmaker,Source,Linux  macOS  Windows,(2018-11-01) 5.0.3,[null],[null],[null],[null],Texmaker,[added]
TeXnicCenter,Source,Windows,[null],[null],[null],[null],[null],TeXnicCenter,[added]
TeXShop,Source,macOS,(2019-10-23) 4.44,[null],[null],[null],[null],TeXShop,[added]
TeXstudio,Source,Linux  Windows  macOS,(2019-12-26) 2.12.18,[null],[null],[null],(pdf  selection with dvi2png),TeXstudio,[added]
TeXworks,Source,Linux  macOS  Windows,(2019-03) 0.6.3,[null],[null],[null],(pdf),TeXworks,[added]
Verbosus,Source,Online  Android  iOS,(2016-05-06) 4.1.3,[null],[null],[null],(pdf),Verbosus,[added]
WinEdt,Source,Windows,(2017-04-13) 10.2,[null],[null],[null],[null],WinEdt,[added]
WinShell,Source,Windows,(2013-02-10) 3.3.2.6,[null],[null],[null],[null],WinShell,[added]
[null],Editing Style,Native Operating Systems,Latest stable version,Costs,License,Configurable,Integrated viewer,[null],[added]
