+ Properties of TeX editors 2,[null],Inverse search<ref group=Note>Inverse search means that one can locate the relevant part of the source code from the viewer (e.g.  double-clicking in dvi or pdf file brings up the appropriate line/paragraph in the latex code)</ref>,DDE support<ref group=Note>On Windows some pdf viewers like Sumatra PDF or Adobe Reader don't use command line arguments for forward search  but the editor sends the document position to them using Dynamic Data Exchange</ref>,Organises Projects,Menu for inserting symbols,Document comparison,Spell-checking,Multiple undo-redo
AUCTeX,[null],[null],(master file),[null],[null],<ref group=Note>Requires installation of extra package.</ref>,[null],[added]
Authorea,[null],[null],[null],[null],[null],[null],[null],[added]
Auto-Latex Equations for Google Docs,[null],[null],[null],[null],[null],[null],[null],[added]
CoCalc,[null],[null],[null],[null],[null],[null],[null],[added]
GNOME LaTeX,[null],[null],[null],[null],[null],[null],[null],[added]
Gummi,[null],[null],[null],[null],[null],[null],[null],[added]
Kile,[null],[null],[null],[null],[null],[null],[null],[added]
LEd,[null],?,[null],[null],[null],[null],[null],[added]
LyX,[null],?,[null],[null],[null],[null],[null],[added]
MeWa,[null],[null],[null],[null],[null],[null],[null],[added]
Notepad++,, with SumatraPDF,, with a DDE client,[null],<ref group=Note>A plug-in is required.</ref>,[null],[null],[null],[added]
Overleaf,[null],[null],[null],[null],[null],[null],[null],[added]
Scientific WorkPlace,[null],?,?,[null],[null],[null],(one level),[added]
ShareLaTeX,[null],[null],[null],[null],[null],[null],[null],[added]
TexLab,[null],[null],[null],[null],[null],[null],[null],[added]
TeXmacs,[null],[null],[null],[null],[null],[null],[null],[added]
Texmaker,[null],[null],(master file),[null],[null],[null],[null],[added]
TeXnicCenter,[null],[null],[null],[null],[null],[null],[null],[added]
TeXShop,[null],[null],[null],<ref group=Note>LaTeX panel & Matrix panel</ref>,[null],[null],[null],[added]
TeXstudio,[null],[null],(master file),[null],[null],[null],[null],[added]
TeXworks,[null],[null],[null],[null],[null],<ref group=Note>Requires installation of extra package</ref>,[null],[added]
Verbosus,[null],[null],[null],[null],[null],[null],[null],[added]
WinEdt,[null],[null],[null],[null],[null],[null],[null],[added]
WinShell,[null],[null],[null],[null],[null],[null],[null],[added]
[null],Inverse search,DDE Support,Organises Projects,Menu for inserting symbols,Document comparison,Spell-checking,Multiple undo-redo,[added]
