+ Properties of TeX editors 3,[null],Collapsible sections,Find and replace using RegEx,Intelligent error handling,Autocompletion of LaTeX commands,Parenthesis matching,Starts up to previous state<ref group=Note>Starts up to previous state including the current editing point.</ref>,Unicode support,RTL Support<ref group=Note>RTL support means Right to Left language support.</ref>,[null]
AUCTeX,[null],[null],[null],[null],[null],<ref group=Note>configurable as an option of the Emacs editor</ref>,[null],[null],AUCTeX,[added]
Authorea,[null],[null],[null],[null],[null],[null],[null],?,Authorea,[added]
Auto-Latex Equations for Google Docs,[null],[null],[null],[null],[null],[null],[null],?,Auto-Latex Equations for Google Docs,[added]
CoCalc,[null],[null],[null],[null],[null],[null],[null],?,CoCalc,[added]
GNOME LaTeX,Planned,[null],[null],[null],[null],[null],[null],[null],GNOME LaTeX,[added]
Gummi,[null],[null],[null],[null],[null],[null],[null],?,Gummi,[added]
Kile,Yes<ref group=Note>With usual \section{} notation  Kile collapses equations and figures  but not sections. Collapsing of sections is possible with non-standard notation \begin{section}{}...\end{section}{}  but it eliminates sections from Structure View. An alternative possibility is bracketing sections with comments %BEGIN and %END.</ref>}},[null],[null],[null],[null],[null],[null],[null],Kile,[added]
LEd,[null],[null],?,[null],[null],(just same files),[null],?,LEd,[added]
LyX,[null],[null],[null],[null],[null],[null],[null],[null],LyX,[added]
MeWa,[null],[null],[null],[null],[null],[null],[null],?,MeWa,[added]
Notepad++,[null],[null],[null],<ref group=Note>This will have to be set up manually.</ref>,[null],[null],[null],[null],Notepad++,[added]
Overleaf,[null],[null],[null],[null],[null],[null],[null],?,Overleaf,[added]
Scientific WorkPlace,[null],?,?,[null],[null],[null],[null],?,Scientific WorkPlace,[added]
ShareLaTeX,[null],[null],[null],[null],[null],[null],[null],?,ShareLaTeX,[added]
TexLab,[null],[null],[null],[null],[null],[null],[null],[null],TexLab,[added]
TeXmacs,[null],[null],[null],[null],[null],[null],[null],?,TeXmacs,[added]
Texmaker,[null],[null],[null],[null],[null],[null],[null],[null],Texmaker,[added]
TeXnicCenter,[null],[null],[null],[null],[null],[null],[null],?,TeXnicCenter,[added]
TeXShop,[null],[null],[null],[null],[null],[null],[null],?,TeXShop,[added]
TeXstudio,[null],[null],[null],[null],[null],[null],[null],[null],TeXstudio,[added]
TeXworks,[null],<ref group=Note>Provides a subset of the regular expression syntax implemented in the Perl scripting language  but fully supports Unicode (  [http://code.google.com/p/texworks/issues/detail?id=194 Issue 194: Add advanced regexp options to Find/Replace] )</ref>,[null],<ref group=Note>Template file in resource directory (  Documentation of the code completion feature )</ref>,[null],[null],[null],[null],TeXworks,[added]
Verbosus,[null],[null],[null],[null],[null],[null],[null],?,Verbosus,[added]
WinEdt,[null],(modified),[null],[null],[null],[null],[null],[null],WinEdt,[added]
WinShell,[null],[null],[null],[null],[null],(just same files),[null],?,WinShell,[added]
[null],Collapsible sections,Find and replace using RegEx,Intelligent error handling,Autocompletion of LaTeX commands,Parenthesis matching,Starts up to previous state<ref group=Note>Starts up to previous state including the current editing point.</ref>,Unicode support,RTL Support<ref group=Note>RTL support means Right to Left language support.</ref>,[null],[added]
